cd_conta,conta,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,398261492.0,461937016.0,447008553.0,454096453.0,473837646.0,477835279.0,498410244.0,495115810.0,569747020.0,601934759.0,613163305.0,649216711.0,611754584.0,659438351.0,688463478.0
1.01,Caixa e Equivalentes de Caixa,3535687.0,2489024.0,2818790.0,3069046.0,3239320.0,3813399.0,2283264.0,2439095.0,2903932.0,4267504.0,5377551.0,4709224.0,5233688.0,3776102.0,4758657.0
1.02,Ativos Financeiros,341601839.0,404930039.0,388763829.0,398146158.0,411790082.0,414652781.0,438275932.0,436303404.0,509718601.0,535755876.0,545026286.0,559901293.0,526050425.0,571338771.0,601021844.0
1.02.01,Depósito Compulsório Banco Central,197760109.0,208073244.0,167947466.0,156996525.0,175016840.0,188461167.0,190546661.0,178807129.0,215536710.0,253204483.0,209333408.0,224516292.0,199320235.0,249079606.0,248459885.0
1.02.02,Ativos Financeiros ao Valor Justo através do Resultado,9192288.0,8545439.0,12850619.0,16455650.0,15775577.0,22741363.0,22881074.0,22070238.0,23700420.0,29611752.0,31742167.0,27000144.0,2236139.0,1755395.0,5902517.0
1.02.03,Ativos Financeiros ao Valor Justo através de ORA,134649442.0,188311356.0,207965744.0,224693983.0,220997665.0,203450251.0,224848197.0,235426037.0,270481471.0,252939641.0,303950711.0,308384857.0,324494051.0,320503770.0,346659442.0
1.02.03.04,Operações de Crédito,97044487.0,101947942.0,103669091.0,111157950.0,106159569.0,104369596.0,109240180.0,119808899.0,129794095.0,139913119.0,145829074.0,155287503.0,162731863.0,165965752.0,172850224.0
1.02.03.06,Provisão para Perdas Esperadas,337969.0,401399.0,378856.0,6360809.0,2252931.0,2374841.0,2549445.0,1371244.0,1445709.0,1174148.0,9443604.0,7451479.0,5174526.0,4412034.0,4398811.0
1.03,Tributos,8728852.0,8572214.0,8196223.0,5787356.0,5880512.0,5322208.0,5442109.0,5592892.0,5840421.0,6785120.0,6836083.0,7259091.0,6748189.0,6970776.0,8135921.0
1.04,Outros Ativos,25664751.0,26595244.0,28269739.0,28013031.0,33895251.0,34958742.0,33816702.0,32427762.0,32774790.0,36342443.0,36876447.0,55793623.0,51331252.0,54944852.0,51414095.0
1.05,Investimentos,7604407.0,7862356.0,7495935.0,7917758.0,8094398.0,8288920.0,7972686.0,7826277.0,7773592.0,8122822.0,8580439.0,9542276.0,9455342.0,9453572.0,9664188.0
1.06,Imobilizado,779469.0,816003.0,825028.0,909684.0,896693.0,871717.0,859655.0,837354.0,840588.0,904269.0,876391.0,1540095.0,1611074.0,1563880.0,2249531.0
1.07,Intangível,10346487.0,10672136.0,10639009.0,10253420.0,10041390.0,9927512.0,9759896.0,9689026.0,9895096.0,9756725.0,9590108.0,10471109.0,11324614.0,11390398.0,11219242.0
