data_fim,trimestre,cd_conta,ds_conta,valor_mil
2022-06-30,T2,2,Passivo Total,5526146.0
2022-06-30,T2,2.01,Passivo Circulante,2417447.0
2022-06-30,T2,2.01.01,Obrigações Sociais e Trabalhistas,29948.0
2022-06-30,T2,2.01.01.01,Obrigações Sociais,0.0
2022-06-30,T2,2.01.01.02,Obrigações Trabalhistas,29948.0
2022-06-30,T2,2.01.01.02.01,Obrigações Trabalhistas,29948.0
2022-06-30,T2,2.01.02,Fornecedores,1544499.0
2022-06-30,T2,2.01.02.01,Fornecedores Nacionais,1544499.0
2022-06-30,T2,2.01.02.02,Fornecedores Estrangeiros,0.0
2022-06-30,T2,2.01.03,Obrigações Fiscais,20208.0
2022-06-30,T2,2.01.03.01,Obrigações Fiscais Federais,20208.0
2022-06-30,T2,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,1098.0
2022-06-30,T2,2.01.03.01.02,Obrigações Fiscais,19110.0
2022-06-30,T2,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2022-06-30,T2,2.01.03.03,Obrigações Fiscais Municipais,0.0
2022-06-30,T2,2.01.04,Empréstimos e Financiamentos,740273.0
2022-06-30,T2,2.01.04.01,Empréstimos e Financiamentos,740273.0
2022-06-30,T2,2.01.04.01.01,Em Moeda Nacional,540022.0
2022-06-30,T2,2.01.04.01.02,Em Moeda Estrangeira,200251.0
2022-06-30,T2,2.01.04.02,Debêntures,0.0
2022-06-30,T2,2.01.04.03,Financiamento por Arrendamento,0.0
2022-06-30,T2,2.01.05,Outras Obrigações,82519.0
2022-06-30,T2,2.01.05.01,Passivos com Partes Relacionadas,0.0
2022-06-30,T2,2.01.05.01.01,Débitos com Coligadas,0.0
2022-06-30,T2,2.01.05.01.03,Débitos com Controladores,0.0
2022-06-30,T2,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2022-06-30,T2,2.01.05.02,Outros,82519.0
2022-06-30,T2,2.01.05.02.01,Dividendos e JCP a Pagar,0.0
2022-06-30,T2,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2022-06-30,T2,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2022-06-30,T2,2.01.05.02.04,Instrumentos Financeiros,26072.0
2022-06-30,T2,2.01.05.02.05,Adiantamento de Clientes,9048.0
2022-06-30,T2,2.01.05.02.06,Passivo de Arrendamento,4609.0
2022-06-30,T2,2.01.05.02.07,Parcelamentos Tributários,1351.0
2022-06-30,T2,2.01.05.02.08,Outras Obrigações,41439.0
2022-06-30,T2,2.01.06,Provisões,0.0
2022-06-30,T2,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0
2022-06-30,T2,2.01.06.01.01,Provisões Fiscais,0.0
2022-06-30,T2,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2022-06-30,T2,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2022-06-30,T2,2.01.06.01.04,Provisões Cíveis,0.0
2022-06-30,T2,2.01.06.02,Outras Provisões,0.0
2022-06-30,T2,2.01.06.02.01,Provisões para Garantias,0.0
2022-06-30,T2,2.01.06.02.02,Provisões para Reestruturação,0.0
2022-06-30,T2,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2022-06-30,T2,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2022-06-30,T2,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2022-06-30,T2,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2022-06-30,T2,2.02,Passivo Não Circulante,688578.0
2022-06-30,T2,2.02.01,Empréstimos e Financiamentos,667683.0
2022-06-30,T2,2.02.01.01,Empréstimos e Financiamentos,667683.0
2022-06-30,T2,2.02.01.01.01,Em Moeda Nacional,667683.0
