cd_conta_padrao,ds_conta_padrao,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receita de Venda de Bens e/ou Serviços,1497303.0,1958912.0,3429624.0,1804696.0,1760359.0,2404340.0,3029590.0,2679222.0,2796469.0,3496560.0,3853520.0,3499108.0,3562877.0,4994879.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-1244211.0,-1717678.0,-2880651.0,-1544540.0,-1576111.0,-2029466.0,-2602862.0,-2178441.0,-2080269.0,-2866006.0,-3169552.0,-2987775.0,-2839181.0,-4449802.0
3.03,Resultado Bruto,253092.0,241234.0,548973.0,260156.0,184248.0,374874.0,426728.0,500781.0,716200.0,630554.0,683968.0,511333.0,723696.0,545077.0
3.04,Despesas/Receitas Operacionais,-99302.0,-142215.0,-264131.0,-149494.0,-143408.0,-213148.0,-298266.0,-314877.0,-337586.0,-289352.0,-344390.0,-374396.0,-422779.0,-541330.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,153790.0,99019.0,284842.0,110662.0,40840.0,161726.0,128462.0,185904.0,378614.0,341202.0,339578.0,136937.0,300917.0,3747.0
3.06,Resultado Financeiro,6398.0,2580.0,-6308.0,-16455.0,17130.0,-46408.0,32763.0,-9064.0,-162105.0,113351.0,-186454.0,111585.0,150231.0,249207.0
3.07,Resultado Antes dos Tributos sobre o Lucro,160188.0,101599.0,278534.0,94207.0,57970.0,115318.0,161225.0,176840.0,216509.0,454553.0,153124.0,248522.0,451148.0,252954.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-38966.0,67561.0,2258.0,9132.0,18979.0,102547.0,14424.0,-20402.0,-70865.0,-136178.0,-17216.0,-56103.0,-120301.0,-49910.0
3.09,Resultado Líquido das Operações Continuadas,121222.0,169160.0,280792.0,103339.0,76949.0,217865.0,175649.0,156438.0,145644.0,318375.0,135908.0,192419.0,330847.0,203044.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,121222.0,169160.0,280792.0,103339.0,76949.0,217865.0,175649.0,156438.0,145644.0,318375.0,135908.0,192419.0,330847.0,203044.0
3.99,Lucro por Ação - (Reais / Ação),0.24429,0.3409,1.15194,0.2078,0.15442,0.43722,1.15216,0.31394,0.29228,0.63893,1.5179,0.38615,0.66357,0.4065
