codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,66.5556,-22.0361,-14.7107,4.0787,3.5662,5.6769,4.6297,2.7327,3.0592,3.1723,3.3586,3.2437
P_VPA,P/VPA,Valuation,x,,,0.5212,0.3402,0.8408,1.3307,1.7972,1.0256,0.9941,1.0568,,0.9379
EV_EBITDA,EV/EBITDA,Valuation,x,,,-33.9504,4.634,5.1786,5.8433,5.8739,4.1238,4.7406,4.9825,,4.6369
EV_EBIT,EV/EBIT,Valuation,x,,,-19.4467,5.4428,5.7091,6.2769,6.0442,4.3421,4.8833,5.227,,5.4324
EV_RECEITA,EV/Receita,Valuation,x,,,0.3229,0.135,0.2952,0.4913,0.4427,0.3364,0.3282,0.3533,,0.3576
DY,Dividend Yield,Valuation,%,,,,,4.1009,3.9757,4.477,11.2487,11.7821,11.8067,,15.7011
PAYOUT,Payout,Valuation,%,12314.9556,31.4501,,,29.1306,44.9271,41.2797,61.2293,71.8143,74.6025,103.0183,103.0183
ROE,ROE,Rentabilidade,%,0.8887,4.3853,1.6785,4.2062,12.3047,12.3318,21.0485,20.1362,17.2964,17.5297,14.8442,14.8442
ROA,ROA,Rentabilidade,%,0.7598,3.6651,1.3507,3.2757,9.7382,10.0341,17.0873,15.8514,12.5901,11.151,8.7652,8.7652
ROIC,ROIC,Rentabilidade,%,-0.868,-4.5916,-1.589,3.4416,9.5599,15.3249,23.0145,15.5739,13.4443,13.1507,11.6078,11.6078
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,-0.2013,-5.3105,-0.9511,2.9143,5.7,8.4083,7.5362,8.1581,6.9228,7.09,7.7111,7.7111
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,0.7936,4.5109,1.3685,2.1351,4.5936,5.4909,5.6879,5.9394,4.8151,4.1418,3.8406,3.8406
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,71.504,2.0507,8.0305,-1.3953,-0.546,-1.5362,-1.0851,0.1609,0.5011,1.2913,1.369,1.369
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.1612,-0.1084,-0.0997,-0.0787,-0.0802,-0.277,-0.2802,0.0417,0.1175,0.3697,0.3929,0.3929
ICJ,ICJ,Endividamento,x,-1.882,-12.0413,-2.6838,8.5545,18.1024,29.5011,100.0242,40.4297,7.3752,3.8676,2.4864,2.4864
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,,,80.4865,89.1001,42.4639,57.7214,87.5863,88.4795,90.6713,58.3934,52.2899,52.2899
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,4.458,3.05,3.2779,2.5415,4.1618,4.4355,4.3887,3.4105,2.5611,2.3962,1.9606,1.9606
LIQ_SECA,Liquidez Seca,Liquidez,x,3.7586,2.5925,2.7501,2.0703,2.4375,3.7912,3.4079,1.5507,1.4871,1.1265,1.1032,1.1032
LIQ_GERAL,Liquidez Geral,Liquidez,x,2.4755,1.9479,1.9185,1.8821,2.3716,2.5878,2.8888,2.6262,2.1697,1.5577,1.3242,1.3242
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.9574,0.8128,1.0336,1.4843,2.1022,1.7409,2.7822,2.433,2.3592,2.3813,1.9954,1.9954
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,54.5259,81.4836,53.9617,31.5843,44.3286,33.4442,28.383,71.0567,77.5679,77.9934,79.0971,79.0971
PME,PME,Eficiência,dias,31.4255,42.9125,37.5092,25.4975,35.0687,21.2586,19.9211,55.675,48.7957,59.4126,56.5891,56.5891
NCG_RECEITA,NCG/Receita,Eficiência,%,11.3229,17.6456,16.5893,10.381,9.906,5.7083,5.0256,17.2724,19.0929,19.3137,18.3345,18.3345
