data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,85499184.0
2015-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-68657734.0
2015-12-31,T4,3.03,Resultado Bruto,16841450.0
2015-12-31,T4,3.04,Despesas/Receitas Operacionais,-45178589.0
2015-12-31,T4,3.04.01,Despesas com Vendas,0.0
2015-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-2142806.0
2015-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,-36279490.0
2015-12-31,T4,3.04.04,Outras Receitas Operacionais,0.0
2015-12-31,T4,3.04.05,Outras Despesas Operacionais,-5249843.0
2015-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,-1506450.0
2015-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-28337139.0
2015-12-31,T4,3.06,Resultado Financeiro,-36538435.0
2015-12-31,T4,3.06.01,Receitas Financeiras,26167311.0
2015-12-31,T4,3.06.02,Despesas Financeiras,-62705746.0
2015-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-64875574.0
2015-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,18878952.0
2015-12-31,T4,3.08.01,Corrente,-1347423.0
2015-12-31,T4,3.08.02,Diferido,20226375.0
2015-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,-45996622.0
2015-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,-45996622.0
2015-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,-44212187.0
2015-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,-1784435.0
2015-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2015-12-31,T4,3.99.01.01,PNA,-8.58
2015-12-31,T4,3.99.01.02,ON,-8.58
2015-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2015-12-31,T4,3.99.02.01,PNA,-8.58
2015-12-31,T4,3.99.02.02,ON,8.58
2016-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,94633264.0
2016-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-61143430.0
2016-12-31,T4,3.03,Resultado Bruto,33489834.0
2016-12-31,T4,3.04,Despesas/Receitas Operacionais,-8417100.0
2016-12-31,T4,3.04.01,Despesas com Vendas,0.0
2016-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-1754530.0
