cd_conta,conta,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3,2025T4
2,Passivo Total,105300421.0,111156358.0,114786159.0,113659790.0,114117818.0,117295481.0,124169866.0,125667007.0,129833876.0,137934328.0,142407743.0,147936515.0,151511198.0,156338226.0,158835626.0,158835626.0
2.02,Passivos Financeiros ao Custo Amortizado,89381991.0,94549968.0,97939827.0,97036826.0,97382420.0,100016610.0,106588305.0,109187057.0,113014450.0,120414567.0,123988264.0,130152404.0,133891637.0,138245847.0,140014585.0,140014585.0
2.02.01,Depósitos,62893936.0,64625034.0,66546756.0,67615882.0,66759565.0,67829187.0,68555722.0,71131132.0,71875313.0,85066882.0,85041911.0,88194890.0,88421129.0,92711902.0,95582159.0,95582159.0
2.04,Passivos Fiscais,671645.0,793257.0,941216.0,807899.0,871358.0,1000139.0,1099755.0,675312.0,568686.0,883499.0,806614.0,660285.0,656799.0,758327.0,876172.0,876172.0
2.05,Outros Passivos,2062389.0,2304738.0,2401744.0,1822282.0,1904823.0,2243347.0,2386240.0,1802841.0,2038994.0,1876790.0,2893794.0,1921463.0,1698609.0,1832076.0,2183313.0,2183313.0
2.03,Provisões,2443075.0,2641975.0,2654739.0,2631798.0,2644670.0,2638189.0,2653738.0,2668103.0,2716516.0,2784340.0,2796895.0,2902896.0,2970094.0,3000471.0,3050749.0,3050749.0
2.07,Patrimônio Líquido Consolidado,8991521.0,9043905.0,9087589.0,9520306.0,9556591.0,9561599.0,9682287.0,9865773.0,9995473.0,10291796.0,10277002.0,10418753.0,10568977.0,10837048.0,11102696.0,11102696.0
2.07.01,Patrimônio Líquido Atribuído ao Controlador,8985698.0,9039338.0,9082643.0,9514072.0,9550006.0,9554993.0,9675937.0,9858970.0,9992085.0,10288368.0,10273592.0,10415047.0,10565010.0,10833866.0,11099341.0,11099341.0
2.07.01.01,Capital Social Realizado,5200000.0,5200000.0,5200000.0,5200000.0,5200000.0,5200000.0,5200000.0,5200000.0,5200000.0,8000000.0,8000000.0,8000000.0,8000000.0,8300000.0,8300000.0,8300000.0
2.07.01.02,Reservas de Capital,4511.0,4511.0,4511.0,4511.0,4511.0,4511.0,4511.0,5098.0,5098.0,5098.0,5098.0,5098.0,5098.0,5098.0,5098.0,5098.0
2.07.01.04,Reservas de Lucros,3797639.0,4092965.0,4092966.0,4375722.0,4373657.0,4557556.0,4546423.0,4957377.0,4957377.0,2488816.0,2485670.0,2519308.0,2519308.0,2672086.0,2672086.0,2672086.0
2.07.01.08,Outros Resultados Abrangentes,0.0,-258138.0,-247628.0,-66161.0,-70946.0,-207074.0,-197549.0,-303505.0,-305181.0,-205546.0,-192789.0,-109359.0,-93637.0,-143318.0,-134895.0,-134895.0
2.07.02,Patrimônio Líquido Atribuído aos Não Controladores,5823.0,4567.0,4946.0,6234.0,6585.0,6606.0,6350.0,6803.0,3388.0,3428.0,3410.0,3706.0,3967.0,3182.0,3355.0,3355.0
