cd_conta_padrao,ds_conta_padrao,2015-T1,2015-T2,2015-T3,2015-T4,2016-T1,2016-T2,2016-T3,2016-T4,2017-T1,2017-T2,2017-T3,2017-T4,2018-T1,2018-T2,2018-T3,2018-T4,2019-T1,2019-T2,2019-T3,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receita de Venda de Bens e/ou Serviços,33625.0,340940.0,67229.0,32868.0,-9412.0,48384.0,43047.0,19672.0,15001.0,106518.0,98939.0,75659.0,50404.0,159059.0,248173.0,88209.0,30882.0,188136.0,219451.0,129058.0,119898.0,236799.0,280834.0,168109.0,361393.0,410333.0,515161.0,600950.0,382438.0,420064.0,314947.0,171537.0,249197.0,544286.0,264612.0,155287.0,132967.0,506043.0,435840.0,188362.0,224934.0,322995.0,286643.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-20483.0,-150006.0,-54698.0,-23368.0,-3099.0,-53549.0,-39443.0,-11844.0,-7482.0,-77593.0,-66811.0,-47438.0,-16225.0,-97845.0,-105069.0,-54647.0,-12995.0,-146503.0,-158808.0,-73584.0,-77213.0,-174208.0,-207539.0,-98535.0,-132725.0,-290346.0,-382179.0,-204164.0,-184230.0,-372115.0,-280950.0,-153850.0,-181738.0,-269687.0,-247429.0,-158155.0,-114864.0,-226571.0,-301160.0,-123556.0,-170176.0,-239018.0,-292356.0
3.03,Resultado Bruto,13142.0,190934.0,12531.0,9500.0,-12511.0,-5165.0,3604.0,7828.0,7519.0,28925.0,32128.0,28221.0,34179.0,61214.0,143104.0,33562.0,17887.0,41633.0,60643.0,55474.0,42685.0,62591.0,73295.0,69574.0,228668.0,119987.0,132982.0,396786.0,198208.0,47949.0,33997.0,17687.0,67459.0,274599.0,17183.0,-2868.0,18103.0,279472.0,134680.0,64806.0,54758.0,83977.0,-5713.0
3.04,Despesas/Receitas Operacionais,-6494.0,-39649.0,-9549.0,-8010.0,-7528.0,-4288.0,-11117.0,-10594.0,-7930.0,-18420.0,-9624.0,-9897.0,44126.0,-19534.0,-11839.0,-8699.0,-9511.0,-19261.0,-12653.0,-13169.0,-9456.0,-21831.0,-16202.0,-22911.0,-14402.0,-43890.0,-9459.0,-23338.0,-16454.0,-36497.0,-21207.0,-25235.0,-22033.0,-49444.0,-32165.0,-26357.0,-29409.0,-38152.0,-34697.0,-33199.0,-28443.0,-36838.0,-31651.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,6648.0,151285.0,2982.0,1490.0,-20039.0,-9453.0,-7513.0,-2766.0,-411.0,10505.0,22504.0,18324.0,78305.0,41680.0,131265.0,24863.0,8376.0,22372.0,47990.0,42305.0,33229.0,40760.0,57093.0,46663.0,214266.0,76097.0,123523.0,373448.0,181754.0,11452.0,12790.0,-7548.0,45426.0,225155.0,-14982.0,-29225.0,-11306.0,241320.0,99983.0,31607.0,26315.0,47139.0,-37364.0
3.06,Resultado Financeiro,13760.0,18878.0,63504.0,1179.0,-6898.0,-19411.0,13352.0,3068.0,5784.0,11240.0,8852.0,-1367.0,-17324.0,1283.0,18689.0,-14563.0,-5967.0,14763.0,1235.0,-10855.0,-15293.0,-5842.0,15467.0,-76969.0,-33067.0,-1419.0,13222.0,-40928.0,-35627.0,10473.0,49458.0,-21339.0,-30184.0,7951.0,36858.0,25967.0,-20464.0,-36653.0,-228.0,-75735.0,-17339.0,12906.0,-40066.0
3.07,Resultado Antes dos Tributos sobre o Lucro,20408.0,170163.0,66486.0,2669.0,-26937.0,-28864.0,5839.0,302.0,5373.0,21745.0,31356.0,16957.0,60981.0,42963.0,149954.0,10300.0,2409.0,37135.0,49225.0,31450.0,17936.0,34918.0,72560.0,-30306.0,181199.0,74678.0,136745.0,332520.0,146127.0,21925.0,62248.0,-28887.0,15242.0,233106.0,21876.0,-3258.0,-31770.0,204667.0,99755.0,-44128.0,8976.0,60045.0,-77430.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-4288.0,-5473.0,-22009.0,-1343.0,8977.0,11593.0,-2817.0,-1682.0,-832.0,-618.0,-11222.0,-5454.0,-6997.0,-2246.0,-13317.0,-10813.0,1543.0,-132.0,-8649.0,-11048.0,6689.0,-967.0,3094.0,6844.0,-43628.0,53205.0,-28874.0,-33183.0,-64346.0,9186.0,-20246.0,16006.0,-18535.0,9602.0,8109.0,-2564.0,1623.0,28184.0,-2298.0,24503.0,-10069.0,1235.0,13155.0
3.09,Resultado Líquido das Operações Continuadas,16120.0,164690.0,44477.0,1326.0,-17960.0,-17271.0,3022.0,-1380.0,4541.0,21127.0,20134.0,11503.0,53984.0,40717.0,136637.0,-513.0,3952.0,37003.0,40576.0,20402.0,24625.0,33951.0,75654.0,-23462.0,137571.0,127883.0,107871.0,299337.0,81781.0,31111.0,42002.0,-12881.0,-3293.0,242708.0,29985.0,-5822.0,-30147.0,232851.0,97457.0,-19625.0,-1093.0,61280.0,-64275.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
