cd_conta,conta,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,14925450.0,14383483.0,14764712.0,16014008.0,17701368.0,17625782.0,19463408.0,20548981.0,23178238.0,24750.777,25041.861,26994482.0,27333641.0,28656693.0,29292312.0
2.01,Passivos Financeiros ao Valor Justo através do Resultado,1916857.0,1816027.0,1780847.0,1709632.0,1846744.0,2076130.0,2056897.0,2199505.0,2179275.0,2168.108,2106.675,2076741.0,2071569.0,2208899.0,2233998.0
2.02,Passivos Financeiros ao Custo Amortizado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22671269.0,24007263.0,24428880.0
2.02.01,Depósitos,,,,,,,,,,,,,16193991.0,17324592.0,17082215.0
2.02.02,Captações no Mercado Aberto,,,,,,,,,,,,,4727350.0,3495771.0,4079951.0
2.02.03,Recursos Mercado Interfinanceiro,,,,,,,,,,,,,0.0,0.0,0.0
2.02.04,Outras Captações,,,,,,,,,,,,,1749928.0,3186900.0,3266714.0
2.03,Provisões,12097274.0,11649060.0,12065252.0,13366752.0,14863434.0,14489317.0,16225656.0,17086416.0,19686250.0,21071.504,21072.226,23106954.0,26057.0,13066.0,13374.0
2.04,Passivos Fiscais,16890.0,18342.0,40434.0,23107.0,20143.0,27369.0,57633.0,60588.0,29323.0,43.736,42.866,39768.0,7941.0,16373.0,11297.0
2.05,Outros Passivos,2472.0,2987.0,7423.0,5447.0,8079.0,15541.0,46171.0,7526.0,6752.0,7.967,7.497,9313.0,1430061.0,1242805.0,1349603.0
2.06,Passivos sobre Ativos Não Correntes a Venda,35436.0,21282.0,8493.0,39464.0,35373.0,79246.0,101846.0,213047.0,205924.0,337.041,636.331,689789.0,0.0,0.0,0.0
2.07,Passivos sobre Ativos Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1126744.0,1168287.0,1255160.0
2.08,Patrimônio Líquido Consolidado,856521.0,875785.0,862263.0,869606.0,927595.0,938179.0,975205.0,981899.0,1070714.0,1122.421,1176.266,1071917.0,,,
2.08.01,Patrimônio Líquido Atribuído ao Controlador,1252031.0,1263647.0,851665.0,851665.0,851665.0,851667.0,851769.0,852335.0,896738.0,899.303,899.525,952678.0,,,
2.08.01.01,Capital Social Realizado,1252031.0,1263647.0,851665.0,,851665.0,851667.0,851769.0,,896738.0,899.303,899.525,,,,
2.08.02,Patrimônio Líquido Atribuído aos Não Controladores,0.0,0.0,0.0,0.0,0.0,436.0,1685.0,4127.0,5621.0,2.993,4.079,5117.0,,,
