cd_conta,conta,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4
1,Ativo Total,44378863.0,47616604.0,49630454.0,57252350.0,54143868.0,54898179.0,56672337.0,60510713.0
1.01,Caixa e Equivalentes de Caixa,362712.0,553937.0,506227.0,329879.0,324330.0,371967.0,106930.0,647009.0
1.02,Ativos Financeiros,41080890.0,43956134.0,45671323.0,46887005.0,45757143.0,48456619.0,48714777.0,51018649.0
1.02.01,Ativos Financeiros ao Custo Amortizado,14423.0,14923.0,14988.0,12556.0,11930.0,9935.0,10145.0,52566.0
1.02.01.01,Operações de Crédito,14423.0,9615.333,4807.667,0.0,0.0,0.0,0.0,0.0
1.02.04.05,Provisão para Perdas Esperadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.04,Outros Ativos,2807258.0,2967486.0,3298908.0,9865966.0,7871969.0,5859573.0,7625206.0,8602091.0
1.05,Investimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.06,Imobilizado,23423.0,22743.0,22849.0,22639.0,23569.0,28957.0,31556.0,31822.0
1.06.01,Imobilizado de Uso,23423.0,22743.0,22849.0,22639.0,23569.0,28957.0,31556.0,31822.0
1.07,Intangível,104580.0,116304.0,131147.0,146861.0,166857.0,181063.0,193868.0,211142.0
