data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-12-31,T4,1,Ativo Total,397796.38300000003
2010-12-31,T4,1.01,Ativo Circulante,203990.677
2010-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,4352.427
2010-12-31,T4,1.01.01.01,Caixas e Bancos,4352.427
2010-12-31,T4,1.01.02,Aplicações Financeiras,71441.374
2010-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2010-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2010-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2010-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,71441.374
2010-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,71441.374
2010-12-31,T4,1.01.03,Contas a Receber,79665.092
2010-12-31,T4,1.01.03.01,Clientes,78168.41
2010-12-31,T4,1.01.03.01.01,Operações de Créditos,15373.839
2010-12-31,T4,1.01.03.01.02,(-)Provisão P/Operação de Créditos,-729.66
2010-12-31,T4,1.01.03.01.03,Clientes,64896.358
2010-12-31,T4,1.01.03.01.04,(-)Ajuste Valor Presente Clientes,-1372.127
2010-12-31,T4,1.01.03.02,Outras Contas a Receber,1496.682
2010-12-31,T4,1.01.03.02.01,Adiantamentos a Empregados,603.991
2010-12-31,T4,1.01.03.02.02,Impostos a Recuperar,749.134
2010-12-31,T4,1.01.03.02.03,Outras Contas a Receber,143.55700000000002
2010-12-31,T4,1.01.04,Estoques,47276.997
2010-12-31,T4,1.01.04.01,Mercadorias,42725.152
2010-12-31,T4,1.01.04.02,Materiais de Consumo,345.952
2010-12-31,T4,1.01.04.03,Culturas em Formação,2387.045
2010-12-31,T4,1.01.04.04,Grãos,127.057
2010-12-31,T4,1.01.04.05,Gado Bovino,871.052
2010-12-31,T4,1.01.04.06,Adiantamentos a Fornecedores,1344.086
2010-12-31,T4,1.01.04.07,Ajuste a Valor Presente - Estoques,-523.347
2010-12-31,T4,1.01.05,Ativos Biológicos,0.0
2010-12-31,T4,1.01.06,Tributos a Recuperar,0.0
2010-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,0.0
2010-12-31,T4,1.01.07,Despesas Antecipadas,1254.787
2010-12-31,T4,1.01.07.01,Despesas do Exercicio Seguinte,1254.787
2010-12-31,T4,1.01.08,Outros Ativos Circulantes,0.0
2010-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2010-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2010-12-31,T4,1.01.08.03,Outros,0.0
2010-12-31,T4,1.02,Ativo Não Circulante,193805.706
2010-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,5752.491
2010-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2010-12-31,T4,1.02.01.01.01,Títulos para Negociação,0.0
2010-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2010-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2010-12-31,T4,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2010-12-31,T4,1.02.01.03,Contas a Receber,5752.491
2010-12-31,T4,1.02.01.03.01,Clientes,5752.491
2010-12-31,T4,1.02.01.03.02,Outras Contas a Receber,0.0
2010-12-31,T4,1.02.01.04,Estoques,0.0
2010-12-31,T4,1.02.01.05,Ativos Biológicos,0.0
2010-12-31,T4,1.02.01.06,Tributos Diferidos,0.0
2010-12-31,T4,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,0.0
2010-12-31,T4,1.02.01.07,Despesas Antecipadas,0.0
2010-12-31,T4,1.02.01.08,Créditos com Partes Relacionadas,0.0
2010-12-31,T4,1.02.01.08.01,Créditos com Coligadas,0.0
2010-12-31,T4,1.02.01.08.03,Créditos com Controladores,0.0
2010-12-31,T4,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
