cd_conta,conta,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3,2025T4
1,Ativo Total,13561514.0,14891765.0,14964569.0,15487360.0,16106035.0,17637396.0,18096624.0,19678089.0,20786450.0,22160762.0,24054292.0,25479109.0,27155138.0,29803895.0,31519505.0,31519505.0
1.01,Caixa e Equivalentes de Caixa,1328365.0,2303989.0,1948125.0,1802630.0,1225204.0,1977819.0,1993976.0,2793186.0,2953394.0,3686938.0,3942653.0,3934842.0,4171744.0,5844723.0,5813282.0,5813282.0
1.02,Ativos Financeiros,10500536.0,10853783.0,11192716.0,11814025.0,13006204.0,13822970.0,14316790.0,15109334.0,16065718.0,16694539.0,18293105.0,19592793.0,20962816.0,21859458.0,23510817.0,23510817.0
1.02.04,Ativos Financeiros ao Custo Amortizado,9582490.0,9834620.0,10193958.0,10558298.0,11705871.0,12570087.0,12763873.0,13509873.0,14385530.0,14918053.0,16550095.0,17263405.0,18693207.0,19095348.0,21432830.0,21432830.0
1.02.04.04,Operações de Crédito,9662176.0,9662176.0,10052450.0,10390766.0,11561312.0,12142996.0,12622422.0,13322810.0,14148118.0,14690814.0,15681525.0,16320200.0,18984579.0,19273391.0,21557051.0,21557051.0
1.02.04.05,Provisão para Perdas Esperadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1082571.0,-1030839.0,-994104.0,-994104.0
1.04,Outros Ativos,503636.0,367672.0,328810.0,349856.0,351097.0,360372.0,375011.0,395531.0,425596.0,450239.0,492287.0,477126.0,462184.0,449977.0,450545.0,450545.0
1.05,Investimentos,8816.0,12565.0,12799.0,25428.0,25425.0,26218.0,26317.0,26313.0,26310.0,26310.0,26259.0,21633.0,21528.0,26029.0,26027.0,26027.0
1.06,Imobilizado,563453.0,562657.0,662449.0,679720.0,681020.0,610523.0,517357.0,507562.0,478258.0,445378.0,421092.0,431311.0,452153.0,503390.0,610749.0,610749.0
1.06.01,Imobilizado de Uso,153444.0,360224.0,358052.0,356252.0,147715.0,159810.0,156160.0,161240.0,152771.0,145457.0,143747.0,149719.0,150915.0,165226.0,180337.0,180337.0
1.07,Intangível,81258.0,89893.0,92643.0,100737.0,100982.0,100862.0,110209.0,115555.0,118401.0,123906.0,142040.0,164639.0,170773.0,189459.0,194628.0,194628.0
