codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,3.326,4.4817,17.1752,16.6244,19.2484,12.7656,14.5498,23.1625,13.7944,9.9247,13.8767,12.1769
P_VPA,P/VPA,Valuation,x,0.5396,2.4336,2.9045,2.1625,1.7762,1.4691,1.0466,1.6721,1.6173,0.8049,0.3813,0.3346
EV_EBITDA,EV/EBITDA,Valuation,x,3.504,11.2347,14.3997,13.7448,14.6804,10.3901,11.0472,14.1925,6.8866,5.5558,1.6968,1.4335
EV_EBIT,EV/EBIT,Valuation,x,4.1433,12.902,16.5899,17.0823,21.0468,14.1664,19.0316,21.9132,11.4045,8.0275,3.2176,2.7182
EV_RECEITA,EV/Receita,Valuation,x,0.5205,1.9387,2.5695,2.1287,1.8569,1.3958,0.9668,1.2616,1.1242,0.689,0.245,0.207
DY,Dividend Yield,Valuation,%,6.9006,1.6674,0.4386,0.3867,0.2653,0.5313,0.3083,1.9687,0.5815,0.423,2.4366,2.7767
PAYOUT,Payout,Valuation,%,22.9182,22.4181,7.5326,6.4291,5.1073,6.7906,4.4932,45.8331,8.048,4.2152,11.3774,11.3774
ROE,ROE,Rentabilidade,%,16.2479,19.4868,18.1048,13.7107,9.6041,12.0475,7.384,7.0132,12.4171,8.28,8.3978,8.3978
ROA,ROA,Rentabilidade,%,11.8426,14.552,14.3437,10.4121,7.0011,8.5676,4.954,4.3612,7.4738,5.145,5.2657,5.2657
ROIC,ROIC,Rentabilidade,%,9.3087,12.8354,12.5594,7.7918,5.3448,6.7323,3.625,4.6538,9.4129,6.6607,6.7135,6.7135
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,14.8553,17.2561,17.8439,15.4873,12.6491,13.4335,8.7518,8.8895,16.3249,12.4013,14.4373,14.4373
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,13.0658,14.722,15.5885,12.0081,9.1238,10.5321,6.4625,4.7569,8.1977,6.6849,6.647,6.647
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.5828,-0.2359,-0.6046,0.855,0.7965,0.3691,0.2854,1.7346,-0.0633,0.1836,-0.453,-0.453
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.1077,-0.05,-0.117,0.1434,0.1019,0.0541,0.0278,0.2328,-0.0147,0.0275,-0.0803,-0.0803
ICJ,ICJ,Endividamento,x,5.781,4.6055,9.8674,4.0183,2.4214,2.8107,1.3231,1.0349,1.9443,1.9383,1.3738,1.3738
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,51.9145,54.0907,33.213,55.8084,62.0807,48.837,6.564,25.2385,24.066,46.1792,31.4457,31.4457
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.4344,2.8789,4.3306,1.9122,2.0126,2.3688,3.3428,1.9766,2.3498,2.1953,2.3301,2.3301
LIQ_SECA,Liquidez Seca,Liquidez,x,1.5727,2.1594,3.2439,1.3145,1.32,1.6245,2.4744,1.1208,1.7981,1.5777,1.7146,1.7146
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.5054,1.8764,2.4899,1.2686,1.4128,1.4555,1.4328,1.145,1.3198,1.3995,1.4668,1.4668
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.9064,0.9379,0.8893,0.7717,0.7534,0.7454,0.7332,0.8855,0.8784,0.7567,0.7805,0.7805
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,112.028,98.4641,110.9139,121.4987,115.8346,110.7911,92.7759,103.687,66.1263,95.803,77.3361,77.3361
PME,PME,Eficiência,dias,81.9545,65.2568,72.7994,73.8791,72.968,89.8681,74.0376,104.9631,66.5027,95.8766,87.589,87.589
NCG_RECEITA,NCG/Receita,Eficiência,%,25.1226,19.1936,21.2359,23.4745,23.1272,24.5873,21.2115,22.7747,13.9642,22.7697,16.3403,16.3403
