data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-12-31,T4,2,Passivo Total,19590086.0
2010-12-31,T4,2.01,Passivo Circulante,2919551.0
2010-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,69853.0
2010-12-31,T4,2.01.01.01,Obrigações Sociais,0.0
2010-12-31,T4,2.01.01.02,Obrigações Trabalhistas,69853.0
2010-12-31,T4,2.01.02,Fornecedores,759320.0
2010-12-31,T4,2.01.02.01,Fornecedores Nacionais,759320.0
2010-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,0.0
2010-12-31,T4,2.01.03,Obrigações Fiscais,392093.0
2010-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,392093.0
2010-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,392093.0
2010-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2010-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,0.0
2010-12-31,T4,2.01.04,Empréstimos e Financiamentos,1154887.0
2010-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,545324.0
2010-12-31,T4,2.01.04.01.01,Em Moeda Nacional,494735.0
2010-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,50589.0
2010-12-31,T4,2.01.04.02,Debêntures,609563.0
2010-12-31,T4,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0
2010-12-31,T4,2.01.05,Outras Obrigações,516129.0
2010-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,0.0
2010-12-31,T4,2.01.05.01.01,Débitos com Coligadas,0.0
2010-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2010-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2010-12-31,T4,2.01.05.02,Outros,516129.0
2010-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,120787.0
2010-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2010-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2010-12-31,T4,2.01.05.02.04,Taxas regulamentares,152702.0
2010-12-31,T4,2.01.05.02.05,Obrigações de beneficios definidos pós-emprego,14355.0
2010-12-31,T4,2.01.05.02.06,Outras contas a pagar,228285.0
2010-12-31,T4,2.01.06,Provisões,27269.0
2010-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0
2010-12-31,T4,2.01.06.01.01,Provisões Fiscais,0.0
2010-12-31,T4,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2010-12-31,T4,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2010-12-31,T4,2.01.06.01.04,Provisões Cíveis,0.0
2010-12-31,T4,2.01.06.02,Outras Provisões,0.0
2010-12-31,T4,2.01.06.02.01,Provisões para Garantias,0.0
2010-12-31,T4,2.01.06.02.02,Provisões para Reestruturação,0.0
