cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,74230.0,104434.0,85517.0,133112.0,72153.0,92830.0,79275.0,116615.0,57343.0,88890.0,76812.0,117032.0,55100.0,70118.0,71168.0,109310.0,62973.0,75536.0,72978.0,104738.0,41915.0,17831.0,66869.0,117992.0,43424.0,76526.0,80542.0,113910.0,62273.0,95159.0,83156.0,110644.0,63520.0,87355.0,80405.0,111067.0,68766.0,99556.0,94684.0,137274.0,86681.0,121913.0,107829.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-36564.0,-45733.0,-42844.0,-65374.0,-38433.0,-48570.0,-44539.0,-59751.0,-31472.0,-44122.0,-40675.0,-68735.0,-30613.0,-32965.0,-37670.0,-57790.0,-36537.0,-74244.0,-40633.0,-55568.0,-24735.0,-14157.0,-34071.0,-59245.0,-22184.0,-34116.0,-38174.0,-54752.0,-30323.0,-43082.0,-37783.0,-49492.0,-29598.0,-38024.0,-34765.0,-50579.0,-32256.0,-44816.0,-42187.0,-62170.0,-40383.0,-53985.0,-48754.0
3.03,Resultado Bruto,37666.0,58701.0,42673.0,67738.0,33720.0,44260.0,34736.0,56864.0,25871.0,44768.0,36137.0,48297.0,24487.0,37153.0,33498.0,51520.0,26436.0,1292.0,32345.0,49170.0,17180.0,3674.0,32798.0,58747.0,21240.0,42410.0,42368.0,59158.0,31950.0,52077.0,45373.0,61152.0,33922.0,49331.0,45640.0,60488.0,36510.0,54740.0,52497.0,75104.0,46298.0,67928.0,59075.0
3.04,Despesas/Receitas Operacionais,-37082.0,-40083.0,-36199.0,-61759.0,-42636.0,-42562.0,-40015.0,-35822.0,-40100.0,-40457.0,-39029.0,-38408.0,-38179.0,-34164.0,-37256.0,-39961.0,-33505.0,-52904.0,-33652.0,-115827.0,-32141.0,-23031.0,-24976.0,-41867.0,-23348.0,-27911.0,-31256.0,-32012.0,-29042.0,-35791.0,-32467.0,-37649.0,-30220.0,-32517.0,-28871.0,-36057.0,-32166.0,-35604.0,-37865.0,-46452.0,-41258.0,-44647.0,-43268.0
3.04.02,Despesas Gerais e Administrativas,-8578.0,-7968.0,-9162.0,-10708.0,-9213.0,-8594.0,-9403.0,-8525.0,-9713.0,-8380.0,-9275.0,-8845.0,-9158.0,-8159.0,-9449.0,-8423.0,-8407.0,-10917.0,-9902.0,-10363.0,-8480.0,-6518.0,-7915.0,-10937.0,-8205.0,-8506.0,-10403.0,-10385.0,-10909.0,-9948.0,-8983.0,-8653.0,-10584.0,-10264.0,-9811.0,-10640.0,-9989.0,-10547.0,-8948.0,-9921.0,-10112.0,-10156.0,-10735.0
3.04.05,Outras Despesas Operacionais,-3684.0,-4789.0,-720.0,-67.0,-5338.0,-2965.0,-926.0,-8020.0,-2716.0,-2246.0,-1128.0,-4805.0,-567.0,-842.0,-1400.0,-15617.0,-25.0,-15480.0,-2091.0,-74864.0,-367.0,-2855.0,-3497.0,-17868.0,-696.0,-5679.0,-4791.0,-3563.0,-1578.0,-4661.0,-1392.0,-4600.0,-978.0,-815.0,-994.0,-530.0,-235.0,-823.0,-1189.0,-3755.0,-4311.0,-5144.0,-2462.0
3.04.05.02,Depreciação e amortização,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,584.0,18618.0,6474.0,5979.0,-8916.0,1698.0,-5279.0,21042.0,-14229.0,4311.0,-2892.0,9889.0,-13692.0,2989.0,-3758.0,11559.0,-7069.0,-51612.0,-1307.0,-66657.0,-14961.0,-19357.0,7822.0,16880.0,-2108.0,14499.0,11112.0,27146.0,2908.0,16286.0,12906.0,23503.0,3702.0,16814.0,16769.0,24431.0,4344.0,19136.0,14632.0,28652.0,5040.0,23281.0,15807.0
3.06,Resultado Financeiro,2377.0,-2021.0,680.0,-1635.0,-4462.0,-3740.0,-872.0,2384.0,792.0,612.0,-1603.0,-1220.0,-1778.0,3945.0,-770.0,2852.0,-1148.0,-645.0,-3068.0,-322.0,-10222.0,-6233.0,-1697.0,-6156.0,-2562.0,-1802.0,-769.0,-9898.0,-8605.0,10.0,-1160.0,-216.0,-270.0,364.0,122.0,3300.0,5056.0,6329.0,75.0,6876.0,164.0,13.0,1645.0
