data_fim,trimestre,cd_conta,ds_conta,valor_mil
2019-12-31,T4,1,Ativo Total,35905000.0
2019-12-31,T4,1.01,Ativo Circulante,12282000.0
2019-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,5026000.0
2019-12-31,T4,1.01.02,Aplicações Financeiras,0.0
2019-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2019-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2019-12-31,T4,1.01.02.01.02,Títulos Designados a Valor Justo,0.0
2019-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2019-12-31,T4,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2019-12-31,T4,1.01.03,Contas a Receber,697000.0
2019-12-31,T4,1.01.03.01,Clientes,491000.0
2019-12-31,T4,1.01.03.02,Outras Contas a Receber,206000.0
2019-12-31,T4,1.01.04,Estoques,5190000.0
2019-12-31,T4,1.01.05,Ativos Biológicos,0.0
2019-12-31,T4,1.01.06,Tributos a Recuperar,1119000.0
2019-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,0.0
2019-12-31,T4,1.01.07,Despesas Antecipadas,0.0
2019-12-31,T4,1.01.08,Outros Ativos Circulantes,250000.0
2019-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,52000.0
2019-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2019-12-31,T4,1.01.08.03,Outros,198000.0
2019-12-31,T4,1.01.08.03.01,Instrumentos Financeiros Derivativos,29000.0
2019-12-31,T4,1.01.08.03.02,Dividendos a receber,0.0
2019-12-31,T4,1.01.08.03.03,Outros Ativos Circulantes,169000.0
2019-12-31,T4,1.02,Ativo Não Circulante,23623000.0
2019-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,1312000.0
2019-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2019-12-31,T4,1.02.01.01.01,Títulos Designados a Valor Justo,0.0
2019-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2019-12-31,T4,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2019-12-31,T4,1.02.01.04,Contas a Receber,37000.0
2019-12-31,T4,1.02.01.04.01,Clientes,0.0
2019-12-31,T4,1.02.01.04.02,Outras Contas a Receber,37000.0
2019-12-31,T4,1.02.01.05,Estoques,0.0
2019-12-31,T4,1.02.01.06,Ativos Biológicos,0.0
2019-12-31,T4,1.02.01.07,Tributos Diferidos,0.0
2019-12-31,T4,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,0.0
2019-12-31,T4,1.02.01.08,Despesas Antecipadas,0.0
2019-12-31,T4,1.02.01.09,Créditos com Partes Relacionadas,97000.0
2019-12-31,T4,1.02.01.09.01,Créditos com Coligadas,0.0
2019-12-31,T4,1.02.01.09.03,Créditos com Controladores,0.0
2019-12-31,T4,1.02.01.09.04,Créditos com Outras Partes Relacionadas,0.0
2019-12-31,T4,1.02.01.10,Outros Ativos Não Circulantes,1178000.0
2019-12-31,T4,1.02.01.10.01,Ativos Não-Correntes a Venda,0.0
2019-12-31,T4,1.02.01.10.02,Ativos de Operações Descontinuadas,0.0
2019-12-31,T4,1.02.01.10.04,Impostos a Recuperar,962000.0
2019-12-31,T4,1.02.01.10.05,Depósitos Judiciais,121000.0
2019-12-31,T4,1.02.01.10.06,Instrumentos Financeiros Derivativos,11000.0
2019-12-31,T4,1.02.01.10.07,Outros ativos não circulantes,84000.0
2019-12-31,T4,1.02.02,Investimentos,3371000.0
2019-12-31,T4,1.02.02.01,Participações Societárias,320000.0
2019-12-31,T4,1.02.02.01.01,Participações em Coligadas,0.0
2019-12-31,T4,1.02.02.01.04,Participações em Controladas em Conjunto,0.0
2019-12-31,T4,1.02.02.01.05,Outros Investimentos,0.0
2019-12-31,T4,1.02.02.02,Propriedades para Investimento,3051000.0
2019-12-31,T4,1.02.03,Imobilizado,14652000.0
2019-12-31,T4,1.02.03.01,Imobilizado em Operação,11154000.0
2019-12-31,T4,1.02.03.02,Direito de Uso em Arrendamento,3498000.0
2019-12-31,T4,1.02.03.03,Imobilizado em Andamento,0.0
2019-12-31,T4,1.02.04,Intangível,4288000.0
2019-12-31,T4,1.02.04.01,Intangíveis,4288000.0
2019-12-31,T4,1.02.04.01.01,Contrato de Concessão,0.0
2019-12-31,T4,1.02.04.01.02,Intangíveis,4064000.0
2019-12-31,T4,1.02.04.01.03,Direito de Uso Intangível,224000.0
2019-12-31,T4,1.02.04.02,Goodwill,0.0
2020-03-31,T1,1,Ativo Total,36659000.0
2020-03-31,T1,1.01,Ativo Circulante,12017000.0
2020-03-31,T1,1.01.01,Caixa e Equivalentes de Caixa,3777000.0
2020-03-31,T1,1.01.02,Aplicações Financeiras,0.0
2020-03-31,T1,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2020-03-31,T1,1.01.02.01.01,Títulos para Negociação,0.0
2020-03-31,T1,1.01.02.01.02,Títulos Designados a Valor Justo,0.0
2020-03-31,T1,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2020-03-31,T1,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2020-03-31,T1,1.01.03,Contas a Receber,588000.0
2020-03-31,T1,1.01.03.01,Clientes,413000.0
2020-03-31,T1,1.01.03.02,Outras Contas a Receber,175000.0
2020-03-31,T1,1.01.04,Estoques,5806000.0
2020-03-31,T1,1.01.05,Ativos Biológicos,0.0
2020-03-31,T1,1.01.06,Tributos a Recuperar,981000.0
2020-03-31,T1,1.01.06.01,Tributos Correntes a Recuperar,0.0
