data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,2,Passivo Total,2156239.0
2015-12-31,T4,2.01,Passivo Circulante,437464.0
2015-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,78070.0
2015-12-31,T4,2.01.01.01,Obrigações Sociais,0.0
2015-12-31,T4,2.01.01.02,Obrigações Trabalhistas,78070.0
2015-12-31,T4,2.01.02,Fornecedores,132174.0
2015-12-31,T4,2.01.02.01,Fornecedores Nacionais,0.0
2015-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,0.0
2015-12-31,T4,2.01.03,Obrigações Fiscais,18811.0
2015-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,0.0
2015-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,0.0
2015-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2015-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,0.0
2015-12-31,T4,2.01.04,Empréstimos e Financiamentos,168175.0
2015-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,0.0
2015-12-31,T4,2.01.04.01.01,Em Moeda Nacional,0.0
2015-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,0.0
2015-12-31,T4,2.01.04.02,Debêntures,168175.0
2015-12-31,T4,2.01.04.02.01,"Empréstimos, financiamentos, debêntures e leasing a pagar",168175.0
2015-12-31,T4,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0
2015-12-31,T4,2.01.05,Outras Obrigações,40234.0
2015-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,0.0
2015-12-31,T4,2.01.05.01.01,Débitos com Coligadas,0.0
2015-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2015-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-12-31,T4,2.01.05.02,Outros,40234.0
2015-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,13021.0
2015-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2015-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2015-12-31,T4,2.01.05.02.04,Outras contas a pagar,27213.0
2015-12-31,T4,2.01.05.02.05,Parcelamento de débitos fiscais,0.0
2015-12-31,T4,2.01.05.02.06,Derivativos,0.0
2015-12-31,T4,2.01.05.02.07,Contas a Pagar - aquisição de empresas,0.0
2015-12-31,T4,2.01.06,Provisões,0.0
2015-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0
2015-12-31,T4,2.01.06.01.01,Provisões Fiscais,0.0
2015-12-31,T4,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2015-12-31,T4,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2015-12-31,T4,2.01.06.01.04,Provisões Cíveis,0.0
2015-12-31,T4,2.01.06.02,Outras Provisões,0.0
2015-12-31,T4,2.01.06.02.01,Provisões para Garantias,0.0
2015-12-31,T4,2.01.06.02.02,Provisões para Reestruturação,0.0
2015-12-31,T4,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2015-12-31,T4,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
