cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,550568086.0,565644421.0,611157942.0,605394528.0,592751088.0,605448235.0,611882113.0,634393240.0,624757296.0,633473583.0,651368093.0,645703039.0,673666255.0,696437348.0,703837221.0,723865007.0,705033056.0,737602601.0,753262492.0,762237452.0,830398300.0,863125199.0,891910536.0,936201485.0,944800829.0,929324375.0,945582440.0,931208396.0,950925644.0,969851763.0,985777177.0,985450829.0,1025113074.0,1058204534.0,1126953893.0,1115652776.0,1134125222.0,1189995630.0,1228927671.0,1238796810.0,1252506194.0,1240333567.0,1263370224.0
1.01,Caixa e Equivalentes de Caixa,64681403.0,64771257.0,77911068.0,89143353.0,89931506.0,104870732.0,118860112.0,110604911.0,102777646.0,108192367.0,111484907.0,100866081.0,100353089.0,113050510.0,117408902.0,31716345.0,24506583.0,15828098.0,14968079.0,20127364.0,20129493.0,24858433.0,18330955.0,20148725.0,30868413.0,33913838.0,17791121.0,16657201.0,19170552.0,16427926.0,14398725.0,22003439.0,20014305.0,20697113.0,24543149.0,23122550.0,21136129.0,20524918.0,32532458.0,37084254.0,26989437.0,24371817.0,21583905.0
1.02,Ativos Financeiros,130721582.0,143442200.0,137413647.0,130980407.0,136284708.0,139381708.0,138242165.0,154448673.0,152601208.0,150596868.0,164731519.0,150169471.0,499951384.0,506824803.0,509382329.0,616396985.0,172378393.0,642801034.0,658202717.0,660335799.0,716019844.0,741076353.0,775373749.0,825275064.0,827623728.0,806181290.0,838667782.0,825125271.0,838503116.0,857775672.0,875984561.0,866506664.0,909100340.0,940128794.0,1002946278.0,991709176.0,1010370433.0,1063794178.0,1089669411.0,1091435691.0,1107868999.0,1097408964.0,1126051979.0
1.02.01,Depósito Compulsório Banco Central,130721582.0,143442200.0,126997642.0,120882571.0,127040135.0,130404685.0,128392674.0,144399912.0,143020322.0,140480263.0,155001146.0,139955017.0,154118428.0,57100127.0,55781513.0,113481591.0,81361654.0,95202129.0,94125552.0,89534662.0,113973150.0,112032215.0,0.0,0.0,161228201.0,118825074.0,123934308.0,0.0,125854585.0,131806568.0,137860267.0,0.0,162468789.0,175469145.0,223501871.0,0.0,219484722.0,246902061.0,262585893.0,0.0,250374171.0,240028997.0,275374969.0
1.02.02,Ativos Financeiros ao Valor Justo através do Resultado,0.0,0.0,10416005.0,10097836.0,9244573.0,8977023.0,9849491.0,10048761.0,9580886.0,10116605.0,9730373.0,10214454.0,345832956.0,86201862.0,77170124.0,85436677.0,91016739.0,91256372.0,93033718.0,96120233.0,104058378.0,109623112.0,125989830.0,160609881.0,104522534.0,106068915.0,100580586.0,90642132.0,89486347.0,69358624.0,66914529.0,147256620.0,50938422.0,52519958.0,52983216.0,208946965.0,58147833.0,65023575.0,77448366.0,231032367.0,94747569.0,72084473.0,68399692.0
1.02.03,Ativos Financeiros ao Valor Justo através de ORA,,,,,,,,,,,,,,363522814.0,376430692.0,417478717.0,,456342533.0,471043447.0,474680904.0,497988316.0,519421026.0,107073876.0,109740387.0,561872993.0,581287301.0,614152888.0,101241787.0,623162184.0,656610480.0,671209765.0,55425671.0,695693129.0,712139691.0,726461191.0,59052090.0,732737878.0,751868542.0,749635152.0,92078540.0,762747259.0,785295494.0,782277318.0
1.02.04,Ativos Financeiros ao Custo Amortizado,,,,,,,,,,,,,,,,,,,,,,,542310043.0,554924796.0,,,,633241352.0,,,,663824373.0,,,,723710121.0,,,,768324784.0,,,
1.02.04.04,Operações de Crédito,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,594776041.0,,,
1.02.04.05,Provisão para Perdas Esperadas,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,-33597930.0,,,
1.03,Tributos,283593466.0,290228875.0,318259751.0,306268788.0,291641965.0,290687750.0,282956383.0,296048506.0,297757823.0,301760164.0,303448596.0,322336767.0,0.0,33252588.0,33400973.0,31565767.0,30513034.0,31910672.0,32272259.0,33599178.0,43550180.0,46668735.0,46955864.0,41063782.0,41019803.0,41790367.0,41661559.0,41757332.0,41737773.0,44328876.0,44159501.0,46445994.0,47455660.0,49165370.0,51351798.0,52839470.0,53240446.0,55965073.0,56882419.0,59790262.0,61000063.0,63263551.0,64089817.0
1.04,Outros Ativos,27776879.0,24135088.0,34185927.0,34769848.0,30840506.0,26795992.0,27625420.0,28753184.0,27725914.0,28561522.0,27629072.0,28825741.0,29850279.0,6020161.0,6349264.0,6524632.0,437449902.0,6441500.0,6853124.0,6726604.0,9510025.0,9220130.0,9920283.0,8315320.0,5921478.0,7715868.0,7325373.0,6865373.0,10522162.0,10200928.0,10255071.0,8973665.0,7052356.0,7101399.0,7068729.0,6910723.0,8787117.0,7142881.0,7294682.0,7997730.0,14588437.0,13157583.0,9787620.0
1.05,Investimentos,5128794.0,4911915.0,5486270.0,6351813.0,6125210.0,5782792.0,6368630.0,6664614.0,6105571.0,6589532.0,6374689.0,5926489.0,6094578.0,953097.0,1017854.0,1053315.0,1034135.0,1031166.0,1062953.0,1070762.0,1081136.0,1081459.0,1135488.0,1094985.0,1147491.0,1227196.0,1279301.0,1232646.0,1597982.0,1682179.0,1719999.0,1727570.0,1768239.0,1556576.0,1611283.0,1609780.0,1469008.0,3601636.0,3679159.0,3640176.0,3580796.0,3554126.0,3639993.0
1.06,Imobilizado,1055835.0,1059620.0,1085368.0,1060743.0,1076898.0,1102090.0,1008680.0,990077.0,984958.0,922207.0,888968.0,866564.0,864039.0,6446510.0,6359430.0,6588975.0,9126380.0,9403036.0,9510894.0,9781957.0,9558376.0,9625610.0,9515905.0,9537111.0,8694315.0,8537192.0,8717564.0,8783785.0,8544544.0,8295156.0,7987625.0,8190763.0,8076343.0,7669772.0,7327869.0,7085564.0,6701546.0,6454630.0,6189305.0,6021900.0,5670019.0,5711721.0,5255392.0
1.07,Intangível,6910292.0,6785251.0,6771202.0,7005914.0,6918549.0,6810872.0,6712227.0,6646433.0,6518054.0,6466215.0,6355014.0,6509883.0,6411863.0,29889679.0,29918469.0,30018988.0,30024629.0,30187095.0,30392466.0,30595788.0,30549246.0,30594479.0,30678292.0,30766498.0,29525601.0,29958624.0,30139740.0,30786788.0,30849515.0,31141026.0,31271695.0,31602734.0,31645831.0,31885510.0,32104787.0,32375513.0,32420543.0,32512314.0,32680237.0,32826797.0,32808443.0,32865805.0,32961518.0
