data_fim,trimestre,cd_conta,ds_conta,valor_mil
2017-03-31,T1,3.13.02,Atribuído a Sócios Não Controladores,0.0
2017-03-31,T1,3.99,Lucro por Ação - (R$ / Ação),0.0
2017-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2017-03-31,T1,3.99.01.01,ON,0.71669066
2017-03-31,T1,3.99.01.02,PN,0.0
2017-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2017-03-31,T1,3.99.02.01,ON,0.71669066
2017-03-31,T1,3.99.02.02,PN,0.0
2017-06-30,T2,3.01,Receitas das Operações,1085163.0
2017-06-30,T2,3.01.01,Operações de Seguros,0.0
2017-06-30,T2,3.01.01.01,Prêmios de Seguros Ganhos,0.0
2017-06-30,T2,3.01.01.02,Outras Receitas de Seguros,0.0
2017-06-30,T2,3.01.02,Operações de Resseguros,1374071.0
2017-06-30,T2,3.01.02.01,Prêmios de Resseguros Ganhos,1374071.0
2017-06-30,T2,3.01.02.02,Outras Receitas de Resseguros,0.0
2017-06-30,T2,3.01.03,Operações de Previdência Complementar,-288908.0
2017-06-30,T2,3.01.03.01,Rendas de Contribuições Retidas,0.0
2017-06-30,T2,3.01.03.02,Variações das Provisões Técnicas,-288908.0
2017-06-30,T2,3.01.03.03,Outras Receitas de Prev. Complementar,0.0
2017-06-30,T2,3.01.04,Operações de Capitalização,0.0
2017-06-30,T2,3.01.04.01,Receita Líquida com Títs. Capitalização,0.0
2017-06-30,T2,3.01.04.02,Variações das Provisões Técnicas,0.0
2017-06-30,T2,3.01.04.03,Outras Receitas de Capitalização,0.0
2017-06-30,T2,3.02,Sinistros e Despesas das Operações,-896817.0
2017-06-30,T2,3.02.01,Operações de Seguros,0.0
2017-06-30,T2,3.02.01.01,Sinistros Retidos de Seguros,0.0
2017-06-30,T2,3.02.01.02,Despesas de Comercialização de Seguros,0.0
2017-06-30,T2,3.02.01.03,Outras Despesas de Seguros,0.0
2017-06-30,T2,3.02.02,Operações de Resseguros,-896817.0
2017-06-30,T2,3.02.02.01,Sinistros Retidos de Resseguros,-676065.0
2017-06-30,T2,3.02.02.02,Despesas de Comercialização de Resseguros,-40239.0
2017-06-30,T2,3.02.02.03,Outras Despesas de Resseguros,-180513.0
2017-06-30,T2,3.02.03,Operações de Previdência Complementar,0.0
2017-06-30,T2,3.02.03.01,Despesas com Benefícios e Resgates,0.0
2017-06-30,T2,3.02.03.02,Despesas de Comercialização de Prev. Complementar,0.0
2017-06-30,T2,3.02.03.03,Outras Despesas de Prev. Complementar,0.0
2017-06-30,T2,3.02.04,Operações de Capitalização,0.0
2017-06-30,T2,3.02.04.01,Despesas com Resgates e Sorteios,0.0
2017-06-30,T2,3.02.04.02,Despesas de Comercialização de Op. de Capitalização,0.0
2017-06-30,T2,3.02.04.03,Outras Despesas de Op. de Capitalização,0.0
2017-06-30,T2,3.03,Resultado Bruto,188346.0
2017-06-30,T2,3.04,Despesas Administrativas,-54548.0
2017-06-30,T2,3.04.01,Despesas com Pessoal Próprio,0.0
2017-06-30,T2,3.04.01.01,Comissões,0.0
2017-06-30,T2,3.04.01.02,Recuperação de Comissões,0.0
2017-06-30,T2,3.04.01.03,Outros Custos de Aquisição,0.0
2017-06-30,T2,3.04.01.04,Variação dos Custos de Aquisição Diferidos,0.0
2017-06-30,T2,3.04.01.05,Participações sobre o Resultado,0.0
2017-06-30,T2,3.04.02,Despesas com Serviços de Terceiros,-54548.0
2017-06-30,T2,3.04.02.01,Despesas Administrativas,-61073.0
2017-06-30,T2,3.04.02.02,Despesas com Tributos,6525.0
2017-06-30,T2,3.04.02.03,Participações sobre o Resultado,0.0
2017-06-30,T2,3.04.03,Despesas com Localização e Funcionamento,0.0
2017-06-30,T2,3.04.04,Despesas com Publicidade e Propaganda,0.0
2017-06-30,T2,3.04.04.01,Prêmios e Rendas de Contribuições de Previdência,0.0
2017-06-30,T2,3.04.04.02,Variação das Provisões Técnicas de Previdência,0.0
2017-06-30,T2,3.04.04.03,Outras Receitas Operacionais - Previdência,0.0
2017-06-30,T2,3.04.04.04,Outras Receitas Operacionais - Seguros e Resseguros,0.0
2017-06-30,T2,3.04.04.05,Resultado com Operações de Assistência à Saúde,0.0
2017-06-30,T2,3.04.04.06,Resultado da Atividade Financeira,0.0
2017-06-30,T2,3.04.04.07,Receita com Imóveis de Renda,0.0
2017-06-30,T2,3.04.04.08,Outras Receitas Patrimoniais,0.0
2017-06-30,T2,3.04.04.09,Rendas com Taa de Gestão - Seguros,0.0
2017-06-30,T2,3.04.04.10,Rendas com Taa de Gestão - Previdência,0.0
2017-06-30,T2,3.04.04.11,"Resultado na Alienação de Ativos - Investimento, Imobilizado e Intangível",0.0
2017-06-30,T2,3.04.04.12,Receita com administração com títulos de capitalização,0.0
2017-06-30,T2,3.04.04.13,Ganhos ou Perdas com ativos não correntes,0.0
2017-06-30,T2,3.04.05,Despesas com Tributos,0.0
2017-06-30,T2,3.04.05.01,Outras Despesas Operacionais - Seguros  e Resseguros,0.0
2017-06-30,T2,3.04.05.02,Outras Despesas Operacionais - Previdência,0.0
2017-06-30,T2,3.04.05.03,Despesas com Resgates - Previdência,0.0
2017-06-30,T2,3.04.05.04,Variação da Provisão de Eventos Ocorridos mas não Avisados - Previdência,0.0
2017-06-30,T2,3.04.05.05,Custos de Aquisição - Previdência,0.0
2017-06-30,T2,3.04.05.06,Outras Despesas Operacionais - Previdência,0.0
2017-06-30,T2,3.04.05.07,Ajustes de Investimentos em Controladas e Coligadas,0.0
2017-06-30,T2,3.04.05.08,Despesas com Imóveis de Renda,0.0
2017-06-30,T2,3.04.05.09,Outras Despesas Patrimoniais,0.0
2017-06-30,T2,3.04.05.10,Custo de Aquisição - Capitalização,0.0
2017-06-30,T2,3.04.05.11,Outras Despesas Operacionais - Capitalização,0.0
2017-06-30,T2,3.04.05.12,Ganhos ou Perdas com ativos não correntes,0.0
2017-06-30,T2,3.04.06,Despesas com Publicações,0.0
2017-06-30,T2,3.04.07,Despesas com Donativos e Contribuições,0.0
2017-06-30,T2,3.04.08,Outras Despesas Administrativas,0.0
2017-06-30,T2,3.05,Outras Receitas e Despesas Operacionais,14404.0
2017-06-30,T2,3.06,Resultado de Equivalência Patrimonial,0.0
2017-06-30,T2,3.06.01,Receitas de Equivalência Patrimonial,0.0
2017-06-30,T2,3.06.02,Despesas de Equivalência Patrimonial,0.0
2017-06-30,T2,3.07,Resultado Antes do Resultado Financeiro e dos Tributos,148202.0
2017-06-30,T2,3.08,Resultado Financeiro,196280.0
2017-06-30,T2,3.08.01,Receitas Financeiras,465709.0
2017-06-30,T2,3.08.02,Despesas Financeiras,-269429.0
2017-06-30,T2,3.09,Resultado Antes dos Tributos sobre o Lucro,344482.0
2017-06-30,T2,3.10,Imposto de Renda e Contribuição Social sobre o Lucro,-112777.0
2017-06-30,T2,3.10.01,Corrente,-90566.0
2017-06-30,T2,3.10.02,Diferido,-22211.0
2017-06-30,T2,3.11,Resultado Líquido das Operações Continuadas,231705.0
2017-06-30,T2,3.12,Resultado Líquido de Operações Descontinuadas,0.0
2017-06-30,T2,3.12.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2017-06-30,T2,3.12.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2017-06-30,T2,3.13,Lucro/Prejuízo Consolidado do Período,231705.0
2017-06-30,T2,3.13.01,Atribuído a Sócios da Empresa Controladora,231705.0
2017-06-30,T2,3.13.02,Atribuído a Sócios Não Controladores,0.0
2017-06-30,T2,3.99,Lucro por Ação - (R$ / Ação),0.0
2017-06-30,T2,3.99.01,Lucro Básico por Ação,0.0
2017-06-30,T2,3.99.01.01,ON,0.74575
2017-06-30,T2,3.99.01.02,PN,0.0
2017-06-30,T2,3.99.02,Lucro Diluído por Ação,0.0
2017-06-30,T2,3.99.02.01,ON,0.74575
2017-06-30,T2,3.99.02.02,PN,0.0
2017-09-30,T3,3.01,Receitas das Operações,1333585.0
2017-09-30,T3,3.01.01,Operações de Seguros,0.0
2017-09-30,T3,3.01.01.01,Prêmios de Seguros Ganhos,0.0
2017-09-30,T3,3.01.01.02,Outras Receitas de Seguros,0.0
2017-09-30,T3,3.01.02,Operações de Resseguros,1434485.0
2017-09-30,T3,3.01.02.01,Prêmios de Resseguros Ganhos,1434485.0
2017-09-30,T3,3.01.02.02,Outras Receitas de Resseguros,0.0
2017-09-30,T3,3.01.03,Operações de Previdência Complementar,-100900.0
2017-09-30,T3,3.01.03.01,Rendas de Contribuições Retidas,0.0
2017-09-30,T3,3.01.03.02,Variações das Provisões Técnicas,-100900.0
2017-09-30,T3,3.01.03.03,Outras Receitas de Prev. Complementar,0.0
2017-09-30,T3,3.01.04,Operações de Capitalização,0.0
2017-09-30,T3,3.01.04.01,Receita Líquida com Títs. Capitalização,0.0
2017-09-30,T3,3.01.04.02,Variações das Provisões Técnicas,0.0
2017-09-30,T3,3.01.04.03,Outras Receitas de Capitalização,0.0
2017-09-30,T3,3.02,Sinistros e Despesas das Operações,-1135701.0
2017-09-30,T3,3.02.01,Operações de Seguros,0.0
2017-09-30,T3,3.02.01.01,Sinistros Retidos de Seguros,0.0
2017-09-30,T3,3.02.01.02,Despesas de Comercialização de Seguros,0.0
2017-09-30,T3,3.02.01.03,Outras Despesas de Seguros,0.0
2017-09-30,T3,3.02.02,Operações de Resseguros,-1135701.0
2017-09-30,T3,3.02.02.01,Sinistros Retidos de Resseguros,-821183.0
2017-09-30,T3,3.02.02.02,Despesas de Comercialização de Resseguros,-26706.0
2017-09-30,T3,3.02.02.03,Outras Despesas de Resseguros,-287812.0
2017-09-30,T3,3.02.03,Operações de Previdência Complementar,0.0
2017-09-30,T3,3.02.03.01,Despesas com Benefícios e Resgates,0.0
2017-09-30,T3,3.02.03.02,Despesas de Comercialização de Prev. Complementar,0.0
2017-09-30,T3,3.02.03.03,Outras Despesas de Prev. Complementar,0.0
2017-09-30,T3,3.02.04,Operações de Capitalização,0.0
2017-09-30,T3,3.02.04.01,Despesas com Resgates e Sorteios,0.0
2017-09-30,T3,3.02.04.02,Despesas de Comercialização de Op. de Capitalização,0.0
2017-09-30,T3,3.02.04.03,Outras Despesas de Op. de Capitalização,0.0
2017-09-30,T3,3.03,Resultado Bruto,197884.0
2017-09-30,T3,3.04,Despesas Administrativas,-97629.0
2017-09-30,T3,3.04.01,Despesas com Pessoal Próprio,0.0
2017-09-30,T3,3.04.01.01,Comissões,0.0
2017-09-30,T3,3.04.01.02,Recuperação de Comissões,0.0
2017-09-30,T3,3.04.01.03,Outros Custos de Aquisição,0.0
2017-09-30,T3,3.04.01.04,Variação dos Custos de Aquisição Diferidos,0.0
2017-09-30,T3,3.04.01.05,Participações sobre o Resultado,0.0
2017-09-30,T3,3.04.02,Despesas com Serviços de Terceiros,-97629.0
2017-09-30,T3,3.04.02.01,Despesas Administrativas,-63227.0
2017-09-30,T3,3.04.02.02,Despesas com Tributos,-34402.0
2017-09-30,T3,3.04.02.03,Participações sobre o Resultado,0.0
2017-09-30,T3,3.04.03,Despesas com Localização e Funcionamento,0.0
2017-09-30,T3,3.04.04,Despesas com Publicidade e Propaganda,0.0
2017-09-30,T3,3.04.04.01,Prêmios e Rendas de Contribuições de Previdência,0.0
2017-09-30,T3,3.04.04.02,Variação das Provisões Técnicas de Previdência,0.0
2017-09-30,T3,3.04.04.03,Outras Receitas Operacionais - Previdência,0.0
2017-09-30,T3,3.04.04.04,Outras Receitas Operacionais - Seguros e Resseguros,0.0
2017-09-30,T3,3.04.04.05,Resultado com Operações de Assistência à Saúde,0.0
2017-09-30,T3,3.04.04.06,Resultado da Atividade Financeira,0.0
2017-09-30,T3,3.04.04.07,Receita com Imóveis de Renda,0.0
2017-09-30,T3,3.04.04.08,Outras Receitas Patrimoniais,0.0
2017-09-30,T3,3.04.04.09,Rendas com Taa de Gestão - Seguros,0.0
2017-09-30,T3,3.04.04.10,Rendas com Taa de Gestão - Previdência,0.0
2017-09-30,T3,3.04.04.11,"Resultado na Alienação de Ativos - Investimento, Imobilizado e Intangível",0.0
2017-09-30,T3,3.04.04.12,Receita com administração com títulos de capitalização,0.0
2017-09-30,T3,3.04.04.13,Ganhos ou Perdas com ativos não correntes,0.0
2017-09-30,T3,3.04.05,Despesas com Tributos,0.0
2017-09-30,T3,3.04.05.01,Outras Despesas Operacionais - Seguros  e Resseguros,0.0
2017-09-30,T3,3.04.05.02,Outras Despesas Operacionais - Previdência,0.0
2017-09-30,T3,3.04.05.03,Despesas com Resgates - Previdência,0.0
2017-09-30,T3,3.04.05.04,Variação da Provisão de Eventos Ocorridos mas não Avisados - Previdência,0.0
2017-09-30,T3,3.04.05.05,Custos de Aquisição - Previdência,0.0
2017-09-30,T3,3.04.05.06,Outras Despesas Operacionais - Previdência,0.0
2017-09-30,T3,3.04.05.07,Ajustes de Investimentos em Controladas e Coligadas,0.0
2017-09-30,T3,3.04.05.08,Despesas com Imóveis de Renda,0.0
2017-09-30,T3,3.04.05.09,Outras Despesas Patrimoniais,0.0
2017-09-30,T3,3.04.05.10,Custo de Aquisição - Capitalização,0.0
2017-09-30,T3,3.04.05.11,Outras Despesas Operacionais - Capitalização,0.0
2017-09-30,T3,3.04.05.12,Ganhos ou Perdas com ativos não correntes,0.0
2017-09-30,T3,3.04.06,Despesas com Publicações,0.0
2017-09-30,T3,3.04.07,Despesas com Donativos e Contribuições,0.0
2017-09-30,T3,3.04.08,Outras Despesas Administrativas,0.0
2017-09-30,T3,3.05,Outras Receitas e Despesas Operacionais,10262.0
2017-09-30,T3,3.06,Resultado de Equivalência Patrimonial,0.0
2017-09-30,T3,3.06.01,Receitas de Equivalência Patrimonial,0.0
2017-09-30,T3,3.06.02,Despesas de Equivalência Patrimonial,0.0
2017-09-30,T3,3.07,Resultado Antes do Resultado Financeiro e dos Tributos,110517.0
2017-09-30,T3,3.08,Resultado Financeiro,150287.0
2017-09-30,T3,3.08.01,Receitas Financeiras,529900.0
2017-09-30,T3,3.08.02,Despesas Financeiras,-379613.0
2017-09-30,T3,3.09,Resultado Antes dos Tributos sobre o Lucro,260804.0
2017-09-30,T3,3.10,Imposto de Renda e Contribuição Social sobre o Lucro,-39271.0
2017-09-30,T3,3.10.01,Corrente,-52109.0
2017-09-30,T3,3.10.02,Diferido,12838.0
2017-09-30,T3,3.11,Resultado Líquido das Operações Continuadas,221533.0
2017-09-30,T3,3.12,Resultado Líquido de Operações Descontinuadas,0.0
2017-09-30,T3,3.12.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2017-09-30,T3,3.12.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2017-09-30,T3,3.13,Lucro/Prejuízo Consolidado do Período,221533.0
2017-09-30,T3,3.13.01,Atribuído a Sócios da Empresa Controladora,221533.0
2017-09-30,T3,3.13.02,Atribuído a Sócios Não Controladores,0.0
2017-09-30,T3,3.99,Lucro por Ação - (R$ / Ação),0.0
2017-09-30,T3,3.99.01,Lucro Básico por Ação,0.0
2017-09-30,T3,3.99.01.01,ON,0.71302
2017-09-30,T3,3.99.01.02,PN,0.0
2017-09-30,T3,3.99.02,Lucro Diluído por Ação,0.0
2017-09-30,T3,3.99.02.01,ON,0.71302
2017-09-30,T3,3.99.02.02,PN,0.0
2018-03-31,T1,3.01,Receitas das Operações,1171494.0
2018-03-31,T1,3.01.01,Operações de Seguros,0.0
2018-03-31,T1,3.01.01.01,Prêmios de Seguros Ganhos,0.0
2018-03-31,T1,3.01.01.02,Outras Receitas de Seguros,0.0
2018-03-31,T1,3.01.02,Operações de Resseguros,1191282.0
2018-03-31,T1,3.01.02.01,Prêmios de Resseguros Ganhos,1191282.0
2018-03-31,T1,3.01.02.02,Outras Receitas de Resseguros,0.0
2018-03-31,T1,3.01.03,Operações de Previdência Complementar,-19788.0
2018-03-31,T1,3.01.03.01,Rendas de Contribuições Retidas,0.0
2018-03-31,T1,3.01.03.02,Variações das Provisões Técnicas,-19788.0
2018-03-31,T1,3.01.03.03,Outras Receitas de Prev. Complementar,0.0
2018-03-31,T1,3.01.04,Operações de Capitalização,0.0
2018-03-31,T1,3.01.04.01,Receita Líquida com Títs. Capitalização,0.0
2018-03-31,T1,3.01.04.02,Variações das Provisões Técnicas,0.0
2018-03-31,T1,3.01.04.03,Outras Receitas de Capitalização,0.0
2018-03-31,T1,3.02,Sinistros e Despesas das Operações,-889283.0
2018-03-31,T1,3.02.01,Operações de Seguros,0.0
2018-03-31,T1,3.02.01.01,Sinistros Retidos de Seguros,0.0
2018-03-31,T1,3.02.01.02,Despesas de Comercialização de Seguros,0.0
2018-03-31,T1,3.02.01.03,Outras Despesas de Seguros,0.0
2018-03-31,T1,3.02.02,Operações de Resseguros,-889283.0
2018-03-31,T1,3.02.02.01,Sinistros Retidos de Resseguros,-316287.0
2018-03-31,T1,3.02.02.02,Despesas de Comercialização de Resseguros,-29322.0
2018-03-31,T1,3.02.02.03,Outras Despesas de Resseguros,-543674.0
2018-03-31,T1,3.02.03,Operações de Previdência Complementar,0.0
2018-03-31,T1,3.02.03.01,Despesas com Benefícios e Resgates,0.0
2018-03-31,T1,3.02.03.02,Despesas de Comercialização de Prev. Complementar,0.0
2018-03-31,T1,3.02.03.03,Outras Despesas de Prev. Complementar,0.0
2018-03-31,T1,3.02.04,Operações de Capitalização,0.0
2018-03-31,T1,3.02.04.01,Despesas com Resgates e Sorteios,0.0
2018-03-31,T1,3.02.04.02,Despesas de Comercialização de Op. de Capitalização,0.0
2018-03-31,T1,3.02.04.03,Outras Despesas de Op. de Capitalização,0.0
2018-03-31,T1,3.03,Resultado Bruto,282211.0
2018-03-31,T1,3.04,Despesas Administrativas,-88185.0
2018-03-31,T1,3.04.01,Despesas com Pessoal Próprio,0.0
2018-03-31,T1,3.04.01.01,Comissões,0.0
2018-03-31,T1,3.04.01.02,Recuperação de Comissões,0.0
2018-03-31,T1,3.04.01.03,Outros Custos de Aquisição,0.0
2018-03-31,T1,3.04.01.04,Variação dos Custos de Aquisição Diferidos,0.0
2018-03-31,T1,3.04.01.05,Participações sobre o Resultado,0.0
2018-03-31,T1,3.04.02,Despesas com Serviços de Terceiros,-88185.0
2018-03-31,T1,3.04.02.01,Despesas Administrativas,-59758.0
2018-03-31,T1,3.04.02.02,Despesas com Tributos,-28427.0
2018-03-31,T1,3.04.02.03,Participações sobre o Resultado,0.0
2018-03-31,T1,3.04.03,Despesas com Localização e Funcionamento,0.0
2018-03-31,T1,3.04.04,Despesas com Publicidade e Propaganda,0.0
2018-03-31,T1,3.04.04.01,Prêmios e Rendas de Contribuições de Previdência,0.0
2018-03-31,T1,3.04.04.02,Variação das Provisões Técnicas de Previdência,0.0
2018-03-31,T1,3.04.04.03,Outras Receitas Operacionais - Previdência,0.0
2018-03-31,T1,3.04.04.04,Outras Receitas Operacionais - Seguros e Resseguros,0.0
2018-03-31,T1,3.04.04.05,Resultado com Operações de Assistência à Saúde,0.0
2018-03-31,T1,3.04.04.06,Resultado da Atividade Financeira,0.0
2018-03-31,T1,3.04.04.07,Receita com Imóveis de Renda,0.0
2018-03-31,T1,3.04.04.08,Outras Receitas Patrimoniais,0.0
2018-03-31,T1,3.04.04.09,Rendas com Taa de Gestão - Seguros,0.0
2018-03-31,T1,3.04.04.10,Rendas com Taa de Gestão - Previdência,0.0
2018-03-31,T1,3.04.04.11,"Resultado na Alienação de Ativos - Investimento, Imobilizado e Intangível",0.0
2018-03-31,T1,3.04.04.12,Receita com administração com títulos de capitalização,0.0
2018-03-31,T1,3.04.04.13,Ganhos ou Perdas com ativos não correntes,0.0
2018-03-31,T1,3.04.05,Despesas com Tributos,0.0
2018-03-31,T1,3.04.05.01,Outras Despesas Operacionais - Seguros  e Resseguros,0.0
2018-03-31,T1,3.04.05.02,Outras Despesas Operacionais - Previdência,0.0
2018-03-31,T1,3.04.05.03,Despesas com Resgates - Previdência,0.0
2018-03-31,T1,3.04.05.04,Variação da Provisão de Eventos Ocorridos mas não Avisados - Previdência,0.0
2018-03-31,T1,3.04.05.05,Custos de Aquisição - Previdência,0.0
2018-03-31,T1,3.04.05.06,Outras Despesas Operacionais - Previdência,0.0
2018-03-31,T1,3.04.05.07,Ajustes de Investimentos em Controladas e Coligadas,0.0
2018-03-31,T1,3.04.05.08,Despesas com Imóveis de Renda,0.0
2018-03-31,T1,3.04.05.09,Outras Despesas Patrimoniais,0.0
2018-03-31,T1,3.04.05.10,Custo de Aquisição - Capitalização,0.0
2018-03-31,T1,3.04.05.11,Outras Despesas Operacionais - Capitalização,0.0
2018-03-31,T1,3.04.05.12,Ganhos ou Perdas com ativos não correntes,0.0
2018-03-31,T1,3.04.06,Despesas com Publicações,0.0
2018-03-31,T1,3.04.07,Despesas com Donativos e Contribuições,0.0
