cd_conta,ds_conta,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receitas das Operações,1109843.0,1085163.0,1333585.0,1209181.0,1171494.0,1409901.0,1503630.0,1679613.0,1496784.0,1598727.0,1689869.0,1824639.0,1809290.0,2103136.0,2373907.0,2194336.0,1863134.0,2071533.0,2053109.0,1999652.0,1728412.0,1691713.0,1746107.0,1880810.0,1630983.0,1319390.0,1422427.0,1421910.0,1428093.0,1376227.0,1649603.0,1604051.0,1366754.0,1303446.0,1303440.0
3.01.01,Operações de Seguros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1758674.0,0.0,0.0,-1758674.0,1680014.0,0.0,0.0,-1680014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.01.02,Operações de Resseguros,1172490.0,1374071.0,1434485.0,1079805.0,1191282.0,1736610.0,1654582.0,1453038.0,1554654.0,2000529.0,1931904.0,1850964.0,0.0,2178918.0,2624625.0,3506015.0,0.0,1762606.0,2278421.0,3394323.0,1732254.0,1479898.0,2082958.0,1726090.0,1630983.0,1319390.0,1422427.0,1421910.0,1428093.0,1376227.0,1649603.0,1604051.0,1366754.0,1303446.0,1303440.0
3.01.02.01,Prêmios de Resseguros Ganhos,1172490.0,1374071.0,1434485.0,1079805.0,1191282.0,1736610.0,1654582.0,1453038.0,1554654.0,2000529.0,1931904.0,1850964.0,0.0,2178918.0,2624625.0,3506015.0,0.0,1762606.0,2278421.0,3394323.0,1732254.0,1479898.0,2082958.0,1726090.0,,,,,,,,,,,
3.01.02.02,Outras Receitas de Resseguros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
3.02,Sinistros e Despesas das Operações,-862526.0,-896817.0,-1135701.0,-952098.0,-889283.0,-1029327.0,-1231804.0,-1280168.0,-1190099.0,-1343887.0,-1457919.0,-1927006.0,-1731097.0,-3163830.0,-2756209.0,-2395654.0,-1791143.0,-2420222.0,-2729310.0,-2623461.0,-1818747.0,-2348547.0,-2284668.0,-2034234.0,-1703694.0,-1418211.0,-1420097.0,-1578396.0,-1176178.0,-1225526.0,-1389514.0,-1490025.0,-1132084.0,-1107111.0,-1175702.0
3.02.01,Operações de Seguros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.02.02,Operações de Resseguros,-862526.0,-896817.0,-1135701.0,-952098.0,-889283.0,-1029327.0,-1231804.0,-1280168.0,-1190099.0,-1343887.0,-1457919.0,-1927006.0,-1731097.0,-3163830.0,-2756209.0,-2395654.0,-1791143.0,-2420222.0,-2729310.0,-2623461.0,-1818747.0,-2348547.0,-2284668.0,-2034234.0,-1703694.0,-1418211.0,-1420097.0,-1578396.0,-1176178.0,-1225526.0,-1389514.0,-1490025.0,-1132084.0,-1107111.0,-1175702.0
3.02.02.01,Sinistros Retidos de Resseguros,-435727.0,-676065.0,-821183.0,-551099.0,-316287.0,-739972.0,-880672.0,-883716.0,-967397.0,-1114588.0,-1363749.0,-1694791.0,-1434515.0,-2868847.0,-2013615.0,-2121887.0,-1492764.0,-2233005.0,-2484732.0,-2066861.0,-1239037.0,-2039623.0,-2085332.0,-1547522.0,,,,,,,,,,,
3.02.02.02,Despesas de Comercialização,-26320.0,-40239.0,-26706.0,-39864.0,-29322.0,-36874.0,-40600.0,-33924.0,-36147.0,-40344.0,-42002.0,-43648.0,-48739.0,-65406.0,-73776.0,-69445.0,-66456.0,-60270.0,-61943.0,-64464.0,-56912.0,-56837.0,-55196.0,-86661.0,,,,,,,,,,,
3.02.02.03,Outras Despesas de Resseguros,-400479.0,-180513.0,-287812.0,-361135.0,-543674.0,-252481.0,-310532.0,-362528.0,-186555.0,-188955.0,-52168.0,-188567.0,-247843.0,-229577.0,-668818.0,-204322.0,-231923.0,-126947.0,-182635.0,-492136.0,-522798.0,-252087.0,-144140.0,-400051.0,,,,,,,,,,,
3.03,Resultado Bruto,247317.0,188346.0,197884.0,257083.0,282211.0,380574.0,271826.0,399445.0,306685.0,254840.0,231950.0,-102367.0,78193.0,-1060694.0,-382302.0,-201318.0,71991.0,-348689.0,-676201.0,-623809.0,-90335.0,-656834.0,-538561.0,-153424.0,-72711.0,-98821.0,2330.0,-156486.0,251915.0,150701.0,260089.0,114026.0,234670.0,196335.0,127738.0
3.04,Despesas Administrativas,-110238.0,-54548.0,-97629.0,-96955.0,-88185.0,-109788.0,-87558.0,-101681.0,-108239.0,-108928.0,-64419.0,-169155.0,-124498.0,-129375.0,-107312.0,-98535.0,-88962.0,-163655.0,-24649.0,-142419.0,-117802.0,-66646.0,-128246.0,-108543.0,-9889.0,-11305.0,-8877.0,-23672.0,-7362.0,1521.0,-11529.0,-6165.0,-6547.0,-7242.0,-7464.0
3.05,Outras Receitas e Despesas Operacionais,7805.0,14404.0,10262.0,20970.0,12733.0,33195.0,27642.0,3942.0,33409.0,12871.0,4622.0,425964.0,194015.0,-1285.0,-1159.0,17711.0,-408.0,-1390.0,66.0,-7429.0,2014.0,-14720.0,24190.0,53685.0,522.0,94.0,99.0,-101.0,76.0,320.0,37195.0,-424.0,-20.0,58.0,278.0
3.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.07,EBIT,144884.0,148202.0,110517.0,181098.0,206759.0,303981.0,211910.0,301706.0,231855.0,158783.0,172153.0,154442.0,147710.0,-1191354.0,-490773.0,-282142.0,-17379.0,-513734.0,-700784.0,-773657.0,-206123.0,-738200.0,-642617.0,-208282.0,-82078.0,-110032.0,-6448.0,-180259.0,244629.0,152542.0,285755.0,107437.0,228103.0,189151.0,120552.0
3.08,Resultado Financeiro,174969.0,196280.0,150287.0,164790.0,116274.0,86875.0,156228.0,88427.0,190291.0,280671.0,305865.0,-309067.0,-103971.0,74284.0,107393.0,-189310.0,101238.0,95060.0,249204.0,164587.0,251294.0,114955.0,148220.0,99992.0,40874.0,23130.0,69407.0,-12272.0,133765.0,158805.0,-1171.0,114784.0,-18016.0,-22313.0,51057.0
3.08.01,Receitas Financeiras,919545.0,465709.0,529900.0,78932.0,661758.0,285478.0,408858.0,-101180.0,520416.0,737575.0,657251.0,-1177925.0,520993.0,269404.0,243879.0,-530871.0,333179.0,508921.0,578664.0,617936.0,901199.0,716226.0,654928.0,62355.0,86539.0,48771.0,297949.0,-20362.0,277547.0,775177.0,122036.0,608379.0,83782.0,32943.0,120391.0
3.08.02,Despesas Financeiras,-744576.0,-269429.0,-379613.0,85858.0,-545484.0,-198603.0,-252630.0,189607.0,-330125.0,-456904.0,-351386.0,868858.0,-624964.0,-195120.0,-136486.0,341561.0,-231941.0,-413861.0,-329460.0,-453349.0,-649905.0,-601271.0,-506708.0,37637.0,-45665.0,-25641.0,-228542.0,8090.0,-143782.0,-616372.0,-123207.0,-493595.0,-101798.0,-55256.0,-69334.0
3.09,LAIR,319853.0,344482.0,260804.0,345888.0,323033.0,390856.0,368138.0,390133.0,422146.0,439454.0,478018.0,-154625.0,43739.0,-1117070.0,-383380.0,-471452.0,83859.0,-418674.0,-451580.0,-609070.0,45171.0,-623245.0,-494397.0,-108290.0,-41204.0,-86902.0,62959.0,-192531.0,378394.0,311347.0,284584.0,222221.0,210087.0,166838.0,171609.0
3.10,IR/CSLL,-97178.0,-112777.0,-39271.0,-96751.0,-69025.0,-103526.0,-63613.0,-17200.0,-71719.0,-51030.0,-85470.0,233346.0,-29865.0,431979.0,153540.0,-148754.0,-33058.0,211728.0,295879.0,238215.0,35315.0,249922.0,195647.0,69536.0,16634.0,49616.0,-19316.0,86891.0,-141575.0,-117241.0,-92120.0,-39870.0,-75987.0,-60276.0,-59298.0
3.13,Lucro/Prejuízo Consolidado do Período,222675.0,231705.0,221533.0,249137.0,254008.0,287330.0,304525.0,372933.0,350427.0,388424.0,392548.0,78721.0,13874.0,-685091.0,-229840.0,-620206.0,50801.0,-206946.0,-155701.0,-370855.0,80486.0,-373323.0,-298750.0,-38754.0,-24570.0,-37286.0,43643.0,-105640.0,236819.0,194106.0,192464.0,182351.0,134100.0,106562.0,112311.0
3.13.01,Atribuído aos Controladores,222675.0,231705.0,221533.0,249137.0,254008.0,287330.0,304525.0,372933.0,350427.0,388424.0,392548.0,78721.0,13874.0,-685091.0,-229840.0,-620206.0,50801.0,-206946.0,-155701.0,-370855.0,80486.0,-373323.0,-298750.0,-38754.0,-24570.0,0.0,0.0,24570.0,236819.0,0.0,0.0,-236819.0,134100.0,0.0,0.0
3.99,Lucro por Ação (Reais/Ação),0.71669066,0.74575,0.71302,0.80453934,0.81754,0.92479,0.98102,1.20665,1.13,1.25,0.42,-1.5,0.01,-0.74,-0.24,-0.61,0.04,-0.16,-0.12,-0.3,0.06,-0.3,-0.22,0.2,-0.01,-0.46,0.53,-1.57,0.14,2.37,2.35,4.99,1.64,1.3,1.3724
