cd_conta,conta,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3,2025T4
2,Passivo Total,1998422303.0,2047387293.0,2096035145.0,2007727977.0,2089927595.0,2075762530.0,2226283389.0,2153878452.0,2283160278.0,2330349036.0,2436404436.0,2398719197.0,2427051877.0,2441421369.0,2540770431.0,2540770431.0
2.02,Passivos Financeiros ao Custo Amortizado,1765987865.0,1809265598.0,1849990668.0,1753201995.0,1831045817.0,1815553394.0,1962026638.0,1884405380.0,2012588389.0,2050390893.0,2147475304.0,2102659213.0,2135864062.0,2146763038.0,2236652913.0,2236652913.0
2.02.01,Depósitos,662208626.0,718460484.0,748344036.0,753263047.0,750723612.0,768530726.0,773854006.0,811943803.0,799602620.0,822463488.0,851556306.0,873710691.0,864972382.0,880357205.0,891321616.0,891321616.0
2.04,Passivos Fiscais,14731847.0,17401759.0,17878139.0,18192089.0,16062868.0,14468246.0,16728681.0,17765460.0,13242226.0,16257174.0,19927570.0,22451418.0,15535285.0,14725761.0,17251147.0,17251147.0
2.05,Outros Passivos,39033787.0,41688649.0,45438580.0,48534390.0,47238153.0,51334646.0,50983753.0,53840507.0,50312712.0,51790398.0,54262325.0,55006528.0,56996808.0,60221034.0,61855365.0,61855365.0
2.03,Provisões,20814537.0,20657930.0,20724407.0,21957583.0,22545501.0,22120014.0,21682304.0,21787037.0,22541847.0,23639692.0,24457844.0,26099013.0,26542350.0,27840196.0,28966587.0,28966587.0
2.07,Patrimônio Líquido Consolidado,151976217.0,155786743.0,157825960.0,163077123.0,168133312.0,167171328.0,170696223.0,173570326.0,180219330.0,183479152.0,185848547.0,184236344.0,187015211.0,186448138.0,187149880.0,187149880.0
2.07.01,Patrimônio Líquido Atribuído ao Controlador,148305951.0,151864158.0,153122204.0,158956355.0,163228989.0,162606050.0,165687124.0,169235279.0,174747891.0,178886881.0,180665826.0,179623018.0,181793664.0,181990739.0,182119883.0,182119883.0
2.07.01.01,Capital Social Realizado,98100023.0,98100023.0,97100023.0,97100023.0,97100023.0,127100000.0,126100000.0,126100000.0,126100000.0,126100000.0,125100000.0,125100000.0,125100000.0,125100000.0,124100000.0,124100000.0
2.07.01.02,Reservas de Capital,6358139.0,6358139.0,6358139.0,6358139.0,6366103.0,6366103.0,6366103.0,6366103.0,6375336.0,6375004.0,6375003.0,6375004.0,6384264.0,6385266.0,6385266.0,6385266.0
2.07.01.04,Reservas de Lucros,48686928.0,59903096.0,56832314.0,70142173.0,66948629.0,50541777.0,47309582.0,61154159.0,57306668.0,71161077.0,67322014.0,81215405.0,78325478.0,76225175.0,75822095.0,75822095.0
2.07.01.08,Outros Resultados Abrangentes,-4629880.0,-6686643.0,-9202377.0,-7560617.0,-7495046.0,-13826984.0,-15120762.0,-15196480.0,-15243648.0,-16664008.0,-15606769.0,-17691814.0,-16540332.0,-18954591.0,-19773757.0,-19773757.0
2.07.02,Patrimônio Líquido Atribuído aos Não Controladores,3670266.0,3922585.0,4703756.0,4120768.0,4904323.0,4565278.0,5009099.0,4335047.0,5471439.0,4592271.0,5182721.0,4613326.0,5221547.0,4457399.0,5029997.0,5029997.0
