cd_conta_padrao,ds_conta_padrao,2015-T4,2016-T4,2017-T4,2018-T4,2019-T4,2020-T4,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receita de Venda de Bens e/ou Serviços,182368871.0,168039236.0,139763614.0,120250344.0,123105325.0,98659704.0,125947217.0,48490439.0,57469566.0,65638828.0,64950218.0,65909746.0,66896468.0,70840719.0,61791672.0,66655193.0,66597527.0,68547731.0,71704823.0,71720089.0,77532482.0,84767065.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-159904025.0,-134531183.0,-109398266.0,-82160825.0,-89253866.0,-43232120.0,-66273138.0,-33095095.0,-39496720.0,-45792719.0,-43817950.0,-44693912.0,-44723970.0,-47635944.0,-39636048.0,-40956417.0,-41023068.0,-42433360.0,-44577982.0,-47952209.0,-53336067.0,-59444112.0
3.03,Resultado Bruto,22464846.0,33508053.0,30365348.0,38089519.0,33851459.0,55427584.0,59674079.0,15395344.0,17972846.0,19846109.0,21132268.0,21215834.0,22172498.0,23204775.0,22155624.0,25698776.0,25574459.0,26114371.0,27126841.0,23767880.0,24196415.0,25322953.0
3.04,Despesas/Receitas Operacionais,-12327342.0,-22617626.0,-14434887.0,-17675320.0,-22711947.0,-43850581.0,-35684288.0,-10425956.0,-6340451.0,-8810595.0,-10467848.0,-12133355.0,-10394984.0,-11903301.0,-13169900.0,-16268883.0,-14209942.0,-22338373.0,-23986660.0,-23486041.0,-22834884.0,-24393578.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,10137504.0,10890427.0,15930461.0,20414199.0,11139512.0,11577003.0,23989791.0,4969388.0,11632395.0,11035514.0,10664420.0,9082479.0,11777514.0,11301474.0,8985724.0,9429893.0,11364517.0,3775998.0,3140181.0,281839.0,1361531.0,929375.0
3.06,Resultado Financeiro,5660535.0,-2230850.0,-3655158.0,-5328098.0,7748806.0,1715880.0,-4266920.0,5276.0,-2911219.0,-2951940.0,-2594499.0,-1791497.0,-2685000.0,-2459827.0,-1045276.0,-749179.0,-1879288.0,2089369.0,2000073.0,3896015.0,2220731.0,2077368.0
3.07,Resultado Antes dos Tributos sobre o Lucro,15798039.0,8659577.0,12275303.0,15086101.0,18888318.0,13292883.0,19722871.0,4974664.0,8721176.0,8083574.0,8069921.0,7290982.0,9092514.0,8841647.0,7940448.0,8680714.0,9485229.0,5865367.0,5140254.0,4177854.0,3582262.0,3006743.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.09,Resultado Líquido das Operações Continuadas,15798039.0,8659577.0,12275303.0,15086101.0,18888318.0,13292883.0,19722871.0,4974664.0,8721176.0,8083574.0,8069921.0,7290982.0,9092514.0,8841647.0,7940448.0,8680714.0,9485229.0,5865367.0,5140254.0,4177854.0,3582262.0,3006743.0
3.10,Resultado Líquido de Operações Descontinuadas,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,,,,,,13292883.0,19722871.0,4974664.0,8721176.0,8083574.0,8069921.0,7290982.0,9092514.0,8841647.0,7940448.0,8680714.0,9485229.0,5865367.0,5140254.0,4177854.0,3582262.0,3006743.0
3.99,Lucro por Ação - (Reais / Ação),5.03,2.52,3.82,4.96,5.86,4.16,6.43,1.6,2.87,2.63,9.68,2.34,2.93,2.82,10.5,1.41,1.52,0.92,4.62,0.6,0.49,0.39
